"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"К. А. Леоненковой. (1). 17 мая 1823.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"Г. Потапову. (1). 28 ноября 1823.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"К. В. Нессельроду. (1). 13 декабря 1823.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"Е. Г. Пушкиной. (1). 11 марта 1826.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"В. А. Жуковскому. (1). 28 марта 1826.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"лорду Байрону. (1). ? ? ?.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"В. В. Ханыкову. (1). май 1826.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"А. Г. Гревенс. (1). 8 июля ?.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"А. Г. Гревенс.  (1). ? ? ?.";;
"Батюшков, Константин Николаевич";"поэт";"Батюшков К. Н. Сочинения: В 3 т. СПб.: П. Н. Батюшков, 1885—1887. Т. 3. Письма. — 1886.";1886;"письмо";"односторонняя / двусторонняя";"А. Г. Гревенс. (1). 24 ноября ?.";;
