"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 1 сентября 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 2—5 сентября 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И., К. Г. Белинским. (1). ~ 10 сентября 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 26—30 сентября 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г, Н., М. И. Белинским. (1). 2 октября 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 9 октября 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"А. П., Е. П. Ивановым. (1). 20 декабря 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"А. П., Е. П. Ивановым. (1). 21—31 декабря 1829.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). ~ 5 января 1830.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"М. М. Попову. (1). 30 апреля 1830.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 7 мая 1830.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 4 июня 1830.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"М. И. Белинской. (1). 25—30 июня 1830.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 24 сентября 1830.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"П. П., Ф. С. Ивановым. (1). 13 января 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 22 января 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 17 февраля 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 3 марта 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 24 мая 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И., К. Г. Белинским. (1). 19 августа 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 29 сентября 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"К. Г., А. Г., Н. Г. Белинским. (1). 29 сентября 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"К. Г. Белинскому. (1). 21 ноября 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"М. И. Белинской. (1). 25 декабря 1831.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"К. Г. Белинскому. (1). 27 января 1832.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"К. Г. Белинскому. (1). 10 февраля 1832.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И., К. Г. Белинским. (1). 30 марта 1832.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 20 апреля 1832.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"Г. Н., М. И. Белинским. (1). 21 июня 1832.";"";""
"Белинский, Виссарион Григорьевич";"критик, публицист";"Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. – Т. 11. Письма. 1829-1840, 718 с.";"1956";"письмо";"односторонняя";"К. Г. Белинскому. (1). 21 июня 1832.";"";""
