"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 16 января 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н. Чернышевскому. (1). 16 января 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 23 января 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н. Чернышевскому. (1). 23 января 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 10 февраля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н. Чернышевскому. (1). 10 февраля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 21 февраля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н. Чернышевскому. (1). 21 февраля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 8 марта 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н. Чернышевскому. (1). 8 марта 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 6 апреля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 11 апреля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н., М. Н. Чернышевским. (1). 11 апреля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 21 апреля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н., М. Н. Чернышевским. (1). 21 апреля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 25 апреля 1877 .";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"А. Н. Чернышевскому. (1). 25 апреля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"М. Н. Чернышевскому. (1). 25 апреля 1877.";"";""
"Чернышевский, Николай Гаврилович";"философ-материалист, революционер-демократ, учёный, литературный критик, публицист, писатель";"Чернышевский Н. Г. Полное собрание сочинений: в 15-ти томах. Том XV. Письма. 1877-1889 гг. М., 1950. 900 С.";"1950";"письмо";"односторонняя";"О. С. Чернышевской. (1). 30 апреля 1877.";"";""
