"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Е. П. Корниловой. (1). Вторая половина января 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"К. С. Веселовскому. (1). 8 февраля 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"А. Н. Якоби. (1). После 8 февраля 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Н. Е. Грищенко. (1). 28 февраля 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Л. А. Ожигиной. (1). 28 февраля 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Н. Л. Озмидову. (1). Февраль 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"В. В. Михайлову. (1). 16 марта 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Н. М. Достоевскому. (1). 24 марта 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Н. П. Петерсону. (1). 24 марта 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"А. П. Уманец. (1). 24 марта 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Редакции газеты «Новое время». (1). 27 марта 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Неустановленному лицу. (1). 27 марта 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Л. В. Григорьеву. (1). 27 марта 1878.";"";""
"Достоевский, Фёдор Михайлович";"писатель, философ, публицист";"Достоевский Ф. М. Полное собрание сочинений и писем: В 30 т. Л. : Наука, 1986. – Т. 30, кн.12. Письма, 1885-181.7. 455, [1] с.; 1 л. портр. : ил.";"1986";"письмо";"одностороняя";"Ф. Ф. Радецкому. (1). 16 апреля 1878.";"";""
