"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 1820.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"Т. С. Гоголь-Яновской. (1). 1820.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 1820.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 10 июня 1821.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 13 августа 1821.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 14 августа 1821.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 26 августа 1821.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 6 сентября 1821.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 6 октября 1821.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 10. Письма. 1820-1835. 540 с., 5 вкл. л. портр., факс.";"1940";"письмо";"односторонняя / двусторонняя";"В. А., М. И. Гоголям. (1). 10 декабря 1821.";"";""
