"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 18 января 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 10 февраля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"Н. Д. Белозерскому. (1). 21 февраля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 21 февраля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 22 февраля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). 2 марта 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"С. А. Соболевскому. (1). 17 апреля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. С. Щепкину. (1). 29 апреля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). апрель — начало мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. С. Щепкину. (1). 10 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 10 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. Н. Загоскину. (1). 10 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 12 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"С. Т. Аксакову. (1). 15 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. С. Щепкину. (1). 15 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 15 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 26 мая 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 5 июня 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"В. А. Жуковскому. (1). 28 июня 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 29 июня 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"А. В., Е. В. Гоголь. (1). 17 июля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 17 июля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 26 июля 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 14 августа 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 23 августа 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 22 сентября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"Н. Я. Прокоповичу. (1). 27 сентября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 21 сентября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 6 октября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Балабиной. (1). 12 октября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"А. С. Данилевскому. (1). 23 октября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"В. А. Жуковскому. (1). 12 ноября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 28 ноября 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). ноябрь 1836.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 14 января 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"Н. Я. Прокоповичу. (1). 25 января 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 15 февраля 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"Богдану Залесскому. (1). вторая половина февраля 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"П. А. Плетневу. (1). 28 марта 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 28 марта 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 30 марта 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"Н. Я. Прокоповичу. (1). 30 марта 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"А С. Данилевскому. (1). 15 апреля 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"В. А Жуковскому. (1). 18 апреля 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"отрывок";"односторонняя";"А. С. Данилевскому. (1). апрель—май 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"Н. Я. Прокоповичу. (1). 3 июня 1837.";"";""
"Гоголь, Николай Васильевич";"писатель";"Гоголь Н. В. Полное собрание сочинений. М., 1940. Т. 11. Письма. 1836-1841. 540 с., 5 вкл. л. портр., факс.";"1952";"письмо";"односторонняя / двусторонняя";"М. И. Гоголь. (1). 12 июня 1837.";"";""
