В. А. Жуковскому. (1). 10 января 1848.;
М. А. Константиновскому. (1). 12 января 1848.;
Н. Н. Шереметевой. (1). 12 января 1848.;
М. И. Гоголь. (1). 15 января 1848.;
А. А. Иванову. (1). 18 января 1848.;
А. П. Толстому. (1). 22 января 1848.;
А. М. Вьельгорской. (1). 23 января 1848.;
С. П. Шевыреву. (1). 23 января 1848.;
Н. Н. Шереметевой. (1). 23 января 1848.;
А. П. Толстому. (1). 27 января 1848.;
В. А. Жуковскому. (1). 16 февраля 1848.;
М. А. Константиновскому. (1). 16 февраля 1848.;
М. И., А. В., Е. В., О. В. Гоголь. (1). 17 февраля 1848.;
Н. Н. Шереметевой. (1). 17 февраля 1848.;
М. А. Базили. (1). 18 февраля 1848.;
С. П. Шевыреву. (1). 18 марта 1848.;
П. А. Плетневу. (1). 2 апреля 1848.;
А. О. Смирновой. (1). 4 апреля 1848.;
В. А. Жуковскому. (1). 6 апреля 1848.;
А. П. Толстому. (1). 13 апреля 1848.;
С. П. Апраксиной. (1). ~ 13 апреля 1848.;
А. А. Иванову. (1). 14 апреля 1848.;
П. А. Плетневу. (1). 14 апреля 1848.;
М. И. Гоголь. (1). 21 апреля 1848.;
М. А. Константиновскому. (1). 21 апреля 1848.;
С. П. Шевыреву. (1). 21 апреля 1848.;
А. С. Данилевскому. (1). 4 мая 1848.;
С. П. Шевыреву. (1). 6 мая 1848.;
А. С. Данилевскому. (1). 16 мая 1848.;
Н. Н. Шереметевой. (1). 16 мая 1848.;
К. С. Аксакову. (1). 3 июня 1848.;
С. Т. Аксакову. (1). 8 июня 1848.;
П. А. Плетневу. (1). 8 июня 1848.;
А. О. Смирновой. (1). ~ 8 июня 1848.;
А. М. Вьельгорской. (1). до 15 июня 1848.;
А. М. Вьельгорской. (1). 15 июня 1848.;
В. А. Жуковскому. (1). 15 июня 1848.;
С. П. Шевыреву. (1). 15 июня 1848.;
С. П. Шевыреву. (1). ~ 18 июня 1848.;
М. А. Базили. (1). 20 июня 1848.;
Н. Я. Прокоповичу. (1). 20 июня 1848.;
П. А. Плетневу. (1). 7 июля 1848.;
С. Т. Аксакову. (1). 12 июля 1848.;
С. П. Шевыреву. (1). 26 июля 1848.;
К. М. Базили. (1). 26 июля 1848.;
Н. Ф. Павлову. (1). до 24 августа 1848.;
