"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Вл. Н. Майков; К. А. Майков; И. А. Гончаров; Я. А. Щеткин; Ю. Д. Гусятникова";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"А. Н., Н. А. Майковым. (1). Первые числа октября 1842.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"Евг. П. Майковой. (1). 11 октября 1842.";;
"С. С. Дудышкин; И. А. Гончаров; Вал. Н. Майков ";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"А. Н., Н. А. Майковым. (1). 14 декабря 1842.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"А. Н. Майкову. (1). 2 марта 1843.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"Н. А., Евг. П. Майковым. (1). 22 июля 1843.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"В. Ф. Шаховской. (1). 8 февраля 1844.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"Вал. Н. Майкову. (1). 11 / 18 июля 1846.";;
"Н. А. Некрасов; И. И. Панаев; М. С. Щепкин; И. А. Гончаров; А. И. Кронеберг";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"В. Г. Белинскому; И. С. Тургеневу; П. В. Анненкову. (1). 24 июня 1847.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"А. П., Ю. Д. Ефремовым. (1). 22 июля 1847.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"Ю. Д. Ефремовой. (1). 25 октября 1847.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"П. М. Языкову. (1). 5 марта 1848.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"А. А. Краевскому. (1). 12 мая 1848.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"В. Ф. Шаховской. (1). 29 января 1849.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"Н. А. Степанову. (1). 3 июля 1849.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"Н. А. Майкову. (1). 13 июля 1849.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"Ю. Д. Ефремовой. (1). 20 августа 1849.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"А. А. Краевскому. (1). 25 сентября 1849.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"М. М. Кирмалову. (1). 17 декабря 1849.";;
"Гончаров, Иван Александрович";;"Гончаров И. А. Полное собрание сочинений и писем: В 20 т. Т. 15: Письма. 1842 - январь 1855. СПб.: Наука, 2017. 549, [1] с., 1 л. портр.";2017;"письмо";"односторонняя";"В. Л. Болтуновой. (1). 29 ноября 1850.";;
