;
Е. В. Толстой. (1). 19 сентября 1855.;
Е. В. Толстой. (1). 25 октября 1855.;
Н. А. Некрасову. (1). 10 января 1856.;
Н. А. Некрасову. (1). 30 января 1856.;
И. И. Льховскому. (1). 25 июня 1857.;
И. И. Льховскому. (1). 15 июля 1857.;
Ю. Д. Ефремовой. (1). 29 июля 1857.;
И. И. Льховскому. (1). 2 августа 1857.;
И. И. Льховскому. (1). 22 августа 1857.;
И. И. Льховскому. (1). 5 ноября 1858.;
Л. Н. Толстому. (1). 4 декабря 1858.;
П. В. Анненкову. (1). 8 декабря 1858.;
В. П. Боткину. (1). 30 января 1859.;
И. С. Тургеневу. (1). 28 марта 1859.;
И. И. Льховскому. (1). 2 апреля 1859.;
А. Н. Майкову. (1). 11 апреля 1859.;
Л. Н. Толстому. (1). 13 мая 1859.;
И. И. Льховскому. (1). 20 мая 1859.;
П. В. Анненкову. (1). 20 мая 1859.;
А. Ф. Писемскому. (1). 28 августа 1859.;
И. С. Тургеневу. (1). 3 марта 1860.;
Н. А. Добролюбову. (1). 26 апреля 1860.;
Е. А., С. А. Никитенко. (1). 3 июня 1860.;
С. А. Никитенко. (1). 8 июня 1860.;
Е. А., С. А. Никитенко. (1). 14 июня 1860.;
Е. А., С. А. Никитенко. (1). 23 июня 1860.;
С. А. Никитенко. (1). 28 июня 1860.;
Е. А., С. А. Никитенко. (1). 6 1860.;
В. Н., Е. П. Майковым. (1). 9 августа 1860.;
Е. А., С. А. Никитенко. (1). 16 августа 1860.;
Неизвестному лицу. (1). 11 ноября 1861.;
А. В. Никитенко. (1). 21 января 1862.;
С. А. Никитенко. (1). 28 июля 1865.;
С. А. Никитенко. (1). 21 августа 1866.;
И. С. Тургеневу. (1). 15 сентября 1866.;
И. С. Тургеневу. (1). 10 февраль 1868.;
М. М. Стасюлевичу. (1). 7 мая 1868.;
Н. А. Некрасову. (1). 22 мая 1868.;
М. М. Стасюлевичу. (1). 30 мая 1868.;
М. М. Стасюлевичу. (1). 6 июня 1868.;
М. М. Стасюлевичу. (1). 7 июня 1868.;
С. А. Никитенко. (1). 4 июля — четверг 1868.;
М. М. Стасюлевичу. (1). 4 декабря 1868.;
М. М. Стасюлевичу. (1). 31 января 1869.;
Е. П. Майковой. (1). январь — февраль 1869.;
Е. П. Майковой. (1). апрель 1869.;
Е. П. Майковой. (1). апрель 1869.;
С. А. Никитенко. (1). 15 мая 1869.;
С. А. Никитенко. (1). 25 мая 1869.;
С. А. Никитенко. (1). 4 июня 1869.;
С. А. Никитенко. (1). 26 июня 1869.;
А. А. Фету. (1). 6 августа 1869.;
М. М. Стасюлевичу. (1). 5 ноября 1869.;
П. В. Анненкову. (1). начало января 1870.;
П. В. Анненкову. (1). 19 января 1870.;
П. В. Анненкову. (1). 1870.;
С. А. Никитенко. (1). 26 августа 1870.;
С. А. Толстой. (1). 11 ноября 1870.;
Я. П. Полонскому. (1). 8 мая 1871.;
Н. Д. Хвощинской (Зайончковской). (1). 23 января 1872.;
А. Ф. Писемскому. (1). 20 октября 1872.;
А. Ф. Писемскому. (1). 4 декабря 1872.;
Н. А. Некрасову. (1). 31 января 1873.;
А. Ф. Писемскому. (1). 18 апреля 1873.;
В. П. Гаевскому. (1). 16 декабря 1873.;
Я. П. Полонскому. (1). 15 января 1874.;
Ф. М. Достоевскому. (1). 11 февраля 1874.;
Ф. М. Достоевскому. (1). 14 февраля 1874.;
К. Д. Кавелину. (1). 25 марта 1874.;
А. Н. Пыпину. (1). 10 мая 1874.;
М. И. Семевскому. (1). 11 декабря 1874.;
А. Ф. Писемскому. (1). 5 февраля 1875.;
Я. П. Полонскому. около 25 марта 1876.;
П. Д. Боборыкину. (1). 7 октября 1876.;
М. Е. Салтыкову. (1). 30 декабря 1876.;
А. Н. Островскому. (1). 12 февраля 1882.;
Л. Н. Толстому. (1). 22 июля 1887.;
Л. Н. Толстому. (1). 2 августа 1887.;
Л. Н. Толстому. (1). 27 декабря 1887.;
Л. Н. Толстому. (1). 9 марта 1888.;
Майкову А Н. (1). 30 апреля 1888.;
В. В. Стасову. (1). 27 октября 1888.;
