"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"И. Д. Щербатову. (1). 1806 — до 4 июня 1808.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"B. В. Измайлову. (1). 1814.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"C. Н. Бегичеву. (1). 9 ноября 1816.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. Н. Бегичеву. (1). 5 декабря 1816.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. Н. Бегичеву. (1). 4 сентября 1817.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"П. А. Катенину. (1). 19 октября 1817.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. Н. Бегичеву. (1). 15 апреля 1818.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. Н. Бегичеву. (1). 30 августа 1818.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. Н. Бегичеву. (1). 5 сентября 1818.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. Н. Бегичеву. (1). 9 сентября 1818.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. Н. Бегичеву. (1). 18 сентября 1818.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. И. Мазаровичу. (1). 12 октября 1818.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"Петербургским приятелям. (1). 27 января 1819.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"П. А. Катенину. (1). 26 марта 1819.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. И. Мазаровичу. (1). Не позднее 5 сентября 1819.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. И. Мазаровичу. (1). 6 сентября 1819.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. И. Мазаровичу. (1). 11—13 сентября 1819.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"С. И. Мазаровичу. (1). 6 октября 1819.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"П. А. Катенину. (1). февраль 1820.";;
"Грибоедов, Александр Сергеевич";"дипломат, поэт, драматург, пианист и композитор";"Грибоедов А. С. Полное собрание сочинений: В 3 т. Рос. акад. наук. Ин-т рус. лит (Пушк. дом). — СПб.: Нотабене, 1995—2006.";2006;"письмо";"односторонняя / двусторонняя";"А. И. Рыхлевскому. (1). февраль 1820.";;
