"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"В. М. Лазаревскому. (1). 1 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"Ш. Шассену. (1). 15 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"В. М. Лазаревскому. (1). 20—21 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"П. М. Ковалевскому. (1). 21 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"А. Н. Пыпину. (1). 22 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"В. М. Лазаревскому. (1). 25 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"А. Н. Апухтину. (1). 27 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"В. П. Гаевскому. (1). 27 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"В. П. Гаевскому. (1). 28 января 1873.";;
"Некрасов, Николай Алексеевич";"поэт";"Некрасов Н.А. Полное собрание сочинений и писем: В 15 т.: Т. 15 кн. 2. Письма. 1873-1877. СПб.: Наука, 2000. 640 с.";"2000";"письмо";"односторонняя";"Н. В. Бергу. (1). 12 февраля 1873.";;
