"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Пушкин, Александр Сергеевич";"поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"одностороняя";"П. А. Осиповой. (1). 24 января 1828.";"";""
"Пушкин, Александр Сергеевич";"поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"одностороняя";"Е. М. Хитрово. (1). 6 февраля 1828.";"";""
"Пушкин, Александр Сергеевич";"поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"одностороняя";"Е. М. Хитрово. (1). 10 февраля 1828.";"";""
"Погодин, Михаил Петрович";"историк, коллекционер, журналист и публицист, писатель-беллетрист, издатель";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"двусторонняя";"А. С. Пушкину. (1). 14 февраля 1828.";"";""
"Дельвиг, Антон Антонович";"поэт, издатель, лицейский друг А. С. Пушкина";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"одностороняя";"А. С. Пушкину. (1). ~ 18 февраля 1828.";"";""
"Пушкин, Александр Сергеевич";"поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"двусторонняя";"М. П. Погодину. (1). 19 февраля 1828.";"";""
"Пушкин, Александр Сергеевич";"поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"одностороняя";"С. А. Соболевскому. (1). вторая половина февраля 1828.";"";""
"Баратынский, Евгений Абрамович";"поэт, переводчик";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"одностороняя";"А. С. Пушкину. (1). Конец февраля — начало марта 1823.";"";""
"Бенкендорф, Александр Христофорович";"государственный деятель, военачальник, генерал от кавалерии; шеф жандармов";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"двусторонняя";"А. С. Пушкину. (1). 5 марта 1828.";"";""
"Пушкин, Александр Сергеевич";"поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 14. Переписка, 1828—1831. М.: Воскресенье, 1996. — 578 с.; ил. ";"1996";"письмо";"двусторонняя";"А. Х. Бенкендорфу. (1). 5 марта 1828.";"";""
