"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник";;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Е. В., О. М. Салтыковым. (1). 7 марта 1839.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"В. Р. Зотову. (1). Осень 1840—1841.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"В. Р. Зотову. (1). Осень 1840—1841.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 9 июля 1845.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 20—21 сентября 1844—1847.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 12 января 1848.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"В. Р. Зотову. (1). 1845 — начало 1848.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е. Салтыкову. (1). 9 мая 1847 — 22 апреля 1848.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"H. Н. Анненкову. (1). 27 апреля 1848.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"К. П. Брюн де Сент-Катрин. (1). 8 мая 1848.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. Я. Гринвальд. (1). 8 мая 1848.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. Я. Салтыковой. (1). 8 мая 1848.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"А. И. Середе. (1). 11 марта 1849.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"С. Е. Салтыкову. (1). 18 октября 1849.";;;;
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 18, кн. 1. Письма. 1839—1868. М.: Худож. лит., 1975. 350 с. ";1975;"письмо";"односторонняя";"Д. Е., А. Я. Салтыковым. (1). 3 января 1850.";;;;
