"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Н. А. Некрасову. (1). До 8 июня 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"В. П. Гаевскому. (1). 26 июня 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Н. А. Некрасову. (1). 9 июля 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Н. К. Михайловскому. (1). 4 августа 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Е. И. Якушкину. (1). 27 августа 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Н. А. Некрасову. (1). 3 сентября 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Комитету Литературного фонда. (1). 6 сентября 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"А. М. Жемчужникову. (1). 8 сентября 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Н. А. Некрасову. (1). 11 сентября 1876.";"";""
"Салтыков-Щедрин, Михаил Евграфович";"писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор";"Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т.: Т. 19, кн. 1. Письма. 1876—1881. М.: Худож. лит., 1976. 240 с.";"1976";"письмо";"односторонняя";"Н. А. Некрасову. (1). 21 сентября 1876.";"";""
