автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник
Г. 3. Елисееву. (1). 20 апреля 1884.;
В. П. Гаевскому. (1). 23 апреля 1884.;
Г. И. Недетовскому. (1). 23 апреля 1884.;
Н. А. Белоголовому. (1). 24 апреля 1884.;
Ш. Шассену. (1). 24 апреля16 мая 1884.;
Н. К. Михайловскому. (1). 25 апреля 1884.;
Гимназии княгини Оболенской. (1). 1 мая 1884.;
M. М. Стасюлевичу. (1). 2 мая 1884.;
П. В. Анненкову. (1). 3 мая 1884.;
К. Д. Кавелину. (1). 4 мая 1884.;
H. Н. Бахметьеву. (1). 5 мая 1884.;
Г. 3. Елисееву. (1). 5 мая 1884.;
В. П. Гаевскому. (1). 8 мая 1884.;
Н. А. Белоголовому. (1). 11 мая 1884.;
Н. К. Михайловскому. (1). 11 мая 1884.;
К. Д. Кавелину. (1). 12 мая 1884.;
А. Л. Боровиковскому. (1). 17 мая 1884.;
Г. 3. Елисееву. (1). 17 мая 1884.;
П. В. Анненкову. (1). 26 мая 1884.;
В. П. Гаевскому. (1). 28 мая 1884.;
В. П. Гаевскому. (1). 30 мая 1884.;
В. П. Гаевскому. (1). 1—10 июня 1884.;
А. Л. Боровиковскому. (1). 11 июня 1884.;
Г. 3. Елисееву. (1). 11 июня 1884.;
В. П. Гаевскому. (1). 12 июня 1884.;
В. П. Гаевскому. (1). 16 июня 1884.;
Н. К. Михайловскому. (1). ~ 20 июня 1884.;
H. A. Белоголовому. (1). 23 июня 1884.;
В. П. Гаевскому. (1). 25 июня 1884.;
Н. К. Михайловскому. (1). 29 июня 1884.;
H. Н. Бахметьеву. (1). 30 июня 1884.;
Н. К. Михайловскому. (1). Начало июля 1884.;
П. В. Анненкову. (1). 1 июля 1884.;
В. П. Гаевскому. (1). 2 июля 1884.;
Н. А. Белоголовому. (1). 3 июля 1884.;
А. Л. Боровиковскому. (1). 6 июля 1884.;
В. П. Гаевскому. (1). 8 июля 1884.;
А. Л. Боровиковскому. (1). 15 июля 1884.;
Г. 3. Елисееву. (1). 15 июля 1884.;
А. Л. Боровиковскому. (1). 21 июля 1884.;
Н. К. Михайловскому. (1). 23 июля 1884.;
А. М. Вольфу. (1). 24 июля 1884.;
Н. А. Белоголовому. (1). 27 июля 1884.;
А. Л. Боровиковскому. (1). 5 августа 1884.;
Г. 3. Елисееву. (1). 5 августа 1884.;
Н. К. Михайловскому. (1). 11 августа 1884.;
Н. А. Белоголовому. (1). 15 августа 1884.;
Н. К. Михайловскому. (1). 15 августа 1884.;
А. Л. Боровиковскому. (1). 19 августа 1884.;
Н. К. Михайловскому. (1). 19 августа 1884.;
В. П. Гаевскому. (1). 20 августа 1884.;
Н. А. Белоголовому. (1). 31 августа 1884.;
Н. А. Белоголовому. (1). 6 сентября 1884.;
Г. 3. Елисееву. (1). 20 сентября 1884.;
В. М. Соболевскому. (1). 27 сентября 1884.;
В. П. Гаевскому. (1). Июль — сентябрь 1884.;
К. А. Буху. (1). 5 октября 1884.;
В. М. Соболевскому. (1). 5 октября 1884.;
Н. К. Михайловскому. (1). 10 октября 1884.;
В. М. Соболевскому. (1). 14 октября 1884.;
М. М. Стасюлевичу. (1). 14 октября 1884.;
М. М. Стасюлевичу. (1). 18 октября 1884.;
М. М. Стасюлевичу. (1). 18 октября 1884.;
М. М. Стасюлевичу. (1). 21 октября 1884.;
M. М. Стасюлевичу. (1). 21 октября 1884.;
В. П. Гаевскому. (1). 22 октября 1884.;
M. М. Стасюлевичу. (1). 22 октября 1884.;
В. М. Соболевскому. (1). 24 октября 1884.;
Н. А. Белоголовому. (1). 26 октября 1884.;
Г. И. Успенскому. (1). 31 октября 1884.;
Редактору газеты «Daily News». (1). 31 октября 1884.;
В. П. Гаевскому. (1). Конец октября 1884.;
В. М. Соболевскому. (1). 3 ноября 1884.;
В. П. Гаевскому. (1). 3—4 ноября 1884.;
В. П. Гаевскому. (1). 7 ноября 1884.;
Н. А. Белоголовому. (1). 10 ноября 1884.;
М. М. Стасюлевичу. (1). 10 ноября 1884.;
В. М. Соболевскому. (1). 11 ноября 1884.;
С. А. Юрьеву. (1). И ноября 1884.;
Г. 3. Елисееву. (1). 13 ноября 1884.;
М. М. Стасюлевичу. (1). 15 ноября 1884.;
М. М. Стасюлевичу. (1). 16 ноября 1884.;
Н. К. Михайловскому. (1). 17 ноября 1884.;
В. П. Гаевскому. (1). 19 ноября 1884.;
А. Ф. Кони. (1). 20 ноября 1884.;
В. П. Гаевскому. (1). 21 ноября 1884.;
Н. К. Михайловскому. (1). 21 ноября 1884.;
А. Л. Боровиковскому. (1). 22 ноября 1884.;
А. Л. Боровиковскому. (1). 2 декабря 1884.;
В. М. Соболевскому. (1). 7 декабря 1884.;
Н. А. Белоголовому. (1). 10 декабря 1884.;
В. М. Соболевскому. (1). 16 декабря 1884.;
Г. 3. Елисееву. (1). 18 декабря 1884.;
M. М. Стасюлевичу. (1). Ноябрь — декабрь 1884.;
П. И. Вейнбергу. (1). 2 января 1885.;
М. М. Стасюлевичу. (1). 2 января 1885.;
М. М. Стасюлевичу. (1). 6 января 1885.;
M. М. Стасюлевичу. (1). После 6 января 1885.;
В. М. Соболевскому. (1). 8 января 1885.;
В. М. Соболевскому. (1). 9 января 1885.;
В. М. Соболевскому. (1). 12 января 1885.;
В. М. Соболевскому. (1). 12 января 1885.;
В. М. Соболевскому. (1). 13 января 1885.;
А. Л. Боровиковскому. (1). 15 января 1885.;
В. М. Соболевскому. (1). 15 января 1885.;
Н. А. Белоголовому. (1). 19 января 1885.;
М. М. Стасюлевичу. (1). 20 января 1885.;
М. М. Стасюлевичу. (1). 28 января 1885.;
М. М. Стасюлевичу. (1). 29 января 1885.;
H. В. Кидошенкову. (1). 1 февраля 1885.;
В. М. Соболевскому. (1). 2 февраля 1885.;
Н. А. Белоголовому. (1). 5 февраля 1885.;
В. П. Гаевскому. (1). 5 февраля 1885.;
Г. 3. Елисееву. (1). 5 февраля 1885.;
А. М. Скабичевскому. (1). 7 февраля 1885.;
В. М. Соболевскому. (1). 7 февраля 1885.;
А. М. Скабичевскому. (1). 9 февраля 1885.;
М. И. Семевскому. (1). 12 февраля 1885.;
Н. К. Михайловскому. (1). 15 февраля 1885.;
В. М. Соболевскому. (1). 15 февраля 1885.;
Н. А. Белоголовому. (1). 16 февраля 1885.;
M. М. Стасюлевичу. (1). 21 февраля 1885.;
Н. К. Михайловскому. (1). 22 февраля 1885.;
А. Л. Боровиковскому. (1). 25 февраля 1885.;
Г. 3. Елисееву. (1). 1 марта 1885.;
В. М. Соболевскому. (1). 3 марта 1885.;
M. М. Стасюлевичу. (1). 4 марта 1885.;
А. М. Скабичевскому. (1). 7 марта 1885.;
Л. Ф. Пантелееву. (1). 5—9 марта 1885.;
А. М. Скабичевскому. (1). 10 марта 1885.;
А. Н. Плещееву. (1). 11 марта 1885.;
В. М. Соболевскому. (1). 11 марта 1885.;
М. М. Стасюлевичу. (1). 12 марта 1885.;
