"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Н. И. Лобачевскому (ректору Казанского университета ). (1). 29 мая 1844.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Н. И. Лобачевскому (ректору Казанского университета ). (1). 3 августа 1844.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"К. К. Фойгту (проректору Казанского университета ). (1). 25 августа 1845.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 25-28 августа 1845.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"И. М. Симонову (ректору Казанского университета ). (1). 12 апреля 1847.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской; Е. А. Толстой. (1). 19 октября 1848.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской; Е. А. Толстой. (1). 19 (26) октября 1848.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской; Е. А. Толстой. (1). 27 октября 1848.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). Первая половина ноября 1848.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). Декабрь 1848.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской; Е. А. Толстой. (1). Декабрь 1848.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 13 февраля 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 15 марта 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 1 (25) марта 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"П. А. Плетневу (ректору Петербургского университета ). (1). 30 марта 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"А. И. Соболеву. (1). 15 (31) марта 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 1 (30) апреля 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 20 апреля 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 1 мая 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 11 мая 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 20 - 26 мая 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"А. И. Соболеву. (1). Апрель (май)? 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). Конец декабря 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). Июнь (декабрь)? 1849.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской; М. Н. Толстой. (1). 10 января 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). февраль 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 20 апреля 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Неизвестной, октябрь - ноябрь 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В Тульское Дворянское Депутатское Собрание, 18 ноября 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 4 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 7 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 9 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 11 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 15 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"С. Н. Толстому. (1). 22 декабря 1850.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 59: Письма, 1844—1855. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"Т. А. Ергольской. (1). 24 декабря 1850.";;
