"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"А. П. Куприянову. (1). 15 января 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"А. И. Эртелю. (1). 15 января 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"П. И. Бирюкову. (1). 17 января 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"Е. И. Попову. (1). 17 января 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"В. В. Рахманову. (1). 17 января 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"Н. Н. Ге (отцу). (1). 20 января 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"Н. Н. Ге (отцу). (1). 21 января 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"П. В. Попову. (1). 1 февраля 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"Е. Н. Воробьеву. (1). 2 февраля 1890.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 65: Письма, 1890—1891 (январь — июнь). — 1953.";1953;"письмо";"односторонняя / двусторонняя";"Р. Лёвенфельду (R. Lӧwenfeld). (1). 6 февраля 1890.";;
