"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). 9 сентября 1862.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). 14 сентября 1862.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). половина вторая. (1). октября 1862.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). 29 января (февраль) 1863.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). 3 - 16 августа 1863.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). август - октябрь 1863.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). август - октябрь 1863.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). ноябрь 1863.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). ноябрь 1863.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 83: Письма к С. А. Толстой, 1862—1886. — 1938.";1938;"письмо";"односторонняя / двусторонняя";"С. А. Толстой. (1). 22 -23 апреля 1864.";;
