"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 5 декабря 1883.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). середина декабря 1883.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 24 января 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 17 февраля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). конец февраля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 4 - 6 марта 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 9 - 10 марта 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 11 марта 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 17 марта 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 27 марта 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 28 марта 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 10 апреля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 16 апреля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 18 апреля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 25 - 27 апреля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 2 мая 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 7 - 8 мая 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 19 мая 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 6 июня 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 24 июня 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 11 июля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 24 июля 1884.";;
"Толстой, Лев Николаевич";"писатель-романист";"Толстой Л. Н. Полное собрание сочинений: В 90 т. Юбилейное издание (1828—1928). Серия 3: Письма  М.; Л.: Гос. изд-во, 1928—1964. — Т. 59—89. Т. 85: Письма к В. Г. Черткову, 1883—1886. — 1935.";1935;"письмо";"односторонняя / двусторонняя";"В. Г. Черткову. (1). 13 - 15 августа 1884.";;
