Бернгарду Эриху Бере. (1). 4 июня 1869.;
Жюлю Этцелю. (1). 4 июня 1869.;
М. М. Стасюлевичу. (1). 5 июня 1869.;
А. Д. Вшивцову. (1). 6 июня 1869.;
Паулю Гейзе. (1). 8 июня 1869.;
Людвигу Пичу. (1). 9 июня 1869.;
Полине Брюэр. (1). 10 июня 1869.;
Н. А. Кишинскому. (1). 12 июня 1869.;
Максимилиану Фредро. (1). 12 июня 1869.;
П. В. Жуковскому. (1). 13 июня 1869.;
Бернгарду Эриху Бере. (1). 13 июня 1869.;
П. В. Жуковскому. (1). 16 июня 1869.;
И. П. Борисову. (1). 18 июня 1869.;
Я. П. Полонскому. (1). 19 июня 1869.;
Н. А. Кишинскому. (1). 22 июня 1869.;
П. П. Васильеву. (1). 23 июня 1869.;
M. M. Стасюлевичу. (1). 23 июня 1869.;
H. H. Рашет. (1). 24 июня 1869.;
Вильяму Рольстону. (1). 24 июня 1869.;
Жюлю Этцелю. (1). 25 июня 1869.;
Н. Н. Рашет. (1). 26 июня 1869.;
Шарлю де Кутули. (1). 28 июня 1869.;
Полине Брюэр. (1). 30 июня 1869.;
Иоганнесу Брамсу. (1). 4 июля 1869.;
Клоди Виардо. (1). 8,9 июля 1869.;
М. М. Стасюлевичу. (1). 9 июля 1869.;
M. A. Милютиной. (1). 10 июля 1869.;
Н. А. Милютину. (1). 10 июля 1869.;
Людвигу Фридлендеру. (1). 10 июля 1869.;
К. Д. Кавелину. (1). 13 июля 1869.;
В. А. Черкасскому. (1). 13 июля 1869.;
Клоди Виардо. (1). 14 июля 1869.;
Луи Виардо. (1). 15 июля 1869.;
Чарльзу Дильку. (1). 16 июля 1869.;
Вильяму Рольстону. (1). 21 июля 1869.;
Людвигу Фридлендеру. (1). 21 июля 1869.;
Юлиусу Роденбергу. (1). 25 июля 1869.;
Максимилиану Фредро. (1). 13 июня — 25 июля 1869.;
Максимилиану Фредро. (1). 14 июня — 26 июля 1869.;
Н. А. Кишинскому. (1). 27 июля 1869.;
И. П. Борисову. (1). 30 июля 1869.;
П. В. Жуковскому. (1). 2 августа 1869.;
Клоди Виардо. (1). 4 августа 1869.;
Илье Вучетичу. (1). 9 августа 1869.;
Полине Брюэр. (1). 10 августа 1869.;
Н. А. Кишинскому. (1). 12 августа 1869.;
Паулю Гензе. (1). 18 августа 1869.;
А. А. Фету. (1). 23 августа 1869.;
И. П. Борисову. (1). 24 августа 1869.;
Н. А. Кишинскому. (1). 24 августа 1869.;
П. П. Васильеву. (1). 20 августа 1869.;
Максимилиану Фредро. (1). Лето 1864 — лето 1869.;
Юлиусу Роденбергу. (1). 9 сентября 1869.;
П. В. Анненкову. (1). 10 сентября 1869.;
Н. А. Кишинскому. (1). 10 сентября 1869.;
Бернгарду Эриху Сере. (1). 12 сентября 1869.;
Теодору Шторму. (1). 14 сентября 1869.;
М. В. Авдееву. (1). 21 сентября 1869.;
А. Д. Галахову. (1). 21 сентября 1869.;
П. Д. Боборыкину. (1). 22 сентября 1869.;
Вильяму Рольстону. (1). 23 сентября 1869.;
И. П. Борисову. (1). 25 сентября 1869.;
Я. П. Полонскому. (1). 25 сентября 1869.;
П. И. Бартеневу. (1). 26 сентября 1869.;
А. Ф. Писемскому. (1). 27 сентября 1869.;
Валентине Делессер. (1). 30 сентября 1869.;
Н. А. Кишинскому. (1). 30 сентября 1869.;
Н. С. Тургеневу. (1). 30 сентября 1869.;
Людвигу Фридлендеру. (1). 30 сентября 1869.;
М. А. Милютиной. (1). Середина мая 1867 — сентябрь 1869.;
М. А. Милютиной. (1). Август — сентябрь 1869.;
Бертольду Ауэрбаху. (1). 1 октября 1869.;
Полине Брюэр. (1). 1 октября 1869.;
Йозефу Вейлену. (1). 1 октября 1869.;
