"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"Полине Брюэр. (1). 1 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"Бернгарду Эриху Бере. (1). 3 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"Ф. Н. Тургеневой. (1). 7 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"Бернгарду Эриху Бере. (1). 8 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"Полине Брюэр. (1). 17 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"Н. П. Веретенникову. (1). 17 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"М. В. Авдееву. (1). 19 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"П. В. Анненкову. (1). 19 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"М. М. Стасюлевичу. (1). 19 января 1874.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 13. Письма, 1874. М.: Наука, 2002. [1] л. портр., 557, [1] c.";2002;"письмо";"односторонняя";"Генри Холту. (1). 25 января 1874.";;
