автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник
П. Л. Лаврову. (1). 1 января 1877.;
Эмилю Дюрану. (1). 1 января 1877.;
Эмилю Золя. (1). 1 января 1877.;
Вильяму Рольстону. (1). 1 января 1877.;
М. М. Стасюлевичу. (1). 1 января 1877.;
В. А. Соллогубу. (1). 3 января 1877.;
М. М. Стасюлевичу. (1). 3 января 1877.;
М. М. Стасюлевичу. (1). 3 января 1877.;
А. А. Трубецкой. (1). 4 января 1877.;
С. К. Брюлловой. (1). 4 января 1877.;
П. Л. Лаврову. (1). 5 января 1877.;
Эдмону де Гонкуру. (1). 6 января 1877.;
Полине Брюэр. (1). 7 января 1877.;
Е. И. Бларамберг. (1). 8 января 1877.;
М. М. Стасюлевичу. (1). 8 января 1877.;
П. В. Анненкову. (1). 10 января 1877.;
Е. В. Львовой. (1). 10 января 1877.;
Вильяму Рольстону. (1). 10 января 1877.;
М. М. Стасюлевичу. (1). 10 января 1877.;
Е. В. Львовой. (1). 11 января 1877.;
Вильяму Рольстону. (1). 12 января 1877.;
Н. С. Тургеневу. (1). 12 января 1877.;
Гюставу Флоберу. (1). 12 января 1877.;
М. М. Стасюлевичу. (1). 13 января 1877.;
Н. А. Щепкину. (1). 13 января 1877.;
Ю. П. Вревской. (1). 15 января 1877.;
А. В. Головнину. (1). 15 января 1877.;
Эмилю Золя. (1). 15 января 1877.;
Ю. П. Вревской. (1). 18 января 1877.;
М. М. Стасюлевичу. (1). 18 января 1877.;
А. П. Боголюбову. (1). 21 января 1877.;
Полине Брюэр. (1). 22 января 1877.;
Я. П. Полонскому. (1). 22 января 1877.;
М. М. Стасюлевичу. (1). 22 января 1877.;
М. М. Стасюлевичу. (1). 22 января 1877.;
Людвигу Пичу. (1). 23 января 1877.;
Ю. П. Вревской. (1). 26 января 1877.;
А. В. Головнину. (1). 26 января 1877.;
А. М. Жемчужникову. (1). 26 января 1877.;
Анджело Де Губернатису. (1). 26 января 1877.;
А. А. Трубецкой. (1). 26 января 1877.;
М. П. Тургеневой. (1). 26 января 1877.;
П. В. Шумахеру. (1). 26 января 1877.;
Эмилю Перрену. (1). 26 января 1877.;
М. М. Стасюлевичу. (1). 28 января 1877.;
Н. С. Тургеневу. (1). 29 января 1877.;
Рудольфу Линдау. (1). 31 января 1877.;
М. М. Стасюлевичу. (1). 1 февраля 1877.;
Н. А. Щепкину. (1). 1 февраля 1877.;
Паулю Линдау. (1). 3 февраля 1877.;
Анджело Де Губернатису. (1). 3 февраля 1877.;
С. И. Танееву. (1). 3 февраля 1877.;
П. В. Шумахеру. (1). 3 февраля 1877.;
С. Д. Полторацкому. (1). 4 февраля 1877.;
А. В. Топорову. (1). 5 февраля 1877.;
Вильяму Рольстону. (1). 6 февраля 1877.;
М. М. Стасюлевичу. (1). 6 февраля 1877.;
Юлиану Шмидту. (1). 6 февраля 1877.;
М. Ф. Де-Пуле. (1). 7 февраля 1877.;
Ю. П. Вревской. (1). 8 февраля 1877.;
А. В. Головнину. (1). 8 февраля 1877.;
Софии Де Губернатис. (1). 8 февраля 1877.;
С. Д. Полторацкому. (1). 10 февраля 1877.;
В. А. Соллогубу. (1). 10 февраля 1877.;
В. А. Соллогубу. (1). 11 февраля 1877.;
П. В. Анненкову. (1). 12 февраля 1877.;
В. А. Белинскому. (1). 13 февраля 1877.;
Е. И. Рагозину. (1). 14 февраля 1877.;
Генри Джеймсу. (1). 16 февраля 1877.;
Кларе Тургеневой. (1). 16 февраля 1877.;
М. М. Стасюлевичу. (1). 17 февраля 1877.;
Полине Брюэр. (1). 17 февраля 1877.;
Бернгарду Эриху Бере. (1). 20 февраля 1877.;
Я. П. Полонскому. (1). 18, 21 февраля 1877.;
Ф. Ф. Торнау. (1). 23 февраля 1877.;
А. В. Головнину. (1). 25 февраля 1877.;
М. М. Стасюлевичу. (1). 25 февраля 1877.;
Н. С. Тургеневу. (1). 25 февраля 1877.;
Ипполиту Тэну. (1). 25 февраля 1877.;
Марии фон Эбнер-Эшенбах. (1). 25 февраля 1877.;
Эмилю Дюрану. (1). 27 февраля 1877.;
М. М. Стасюлевичу. (1). 27 февраля 1877.;
Н. С. Тургеневу. (1). 27 февраля 1877.;
Людвигу Пичу. (1). 28 февраля 1877.;
Н. А. Щепкину. (1). 28 февраля 1877.;
Ю. П. Вревской. (1). 1 марта 1877.;
Принцессе Матильде. (1). 2 марта 1877.;
Гюставу Флоберу. (1). 2 марта 1877.;
Анджело Де Губернатису. (1). 4 марта 1877.;
И. И. Маслову. (1). 5 марта 1877.;
Ю. П. Вревской. (1). 5 марта 1877.;
А. М. Жемчужникову. (1). 5 марта 1877.;
Паулю Линдау. (1). 5 марта 1877.;
Юлиусу Роденбергу. (1). 5 марта 1877.;
Надару. (1). 6 марта 1877.;
М. М. Стасюлевичу. (1). 7 марта 1877.;
Н. С. Тургеневу. (1). 7 марта 1877.;
Жюлю Этцелю. (1). 7 марта 1877.;
Ю. П. Вревской. (1). 8 марта 1877.;
Эдмону де Гонкуру. (1). 9 марта 1877.;
Эмилю Золя. (1). 9 марта 1877.;
Жоржу Пуше. (1). 9 марта 1877.;
Г. Н. Вырубову. (1). 10 марта 1877.;
Эмилю Дюрану. (1). 10 марта 1877.;
Е. И. Рагозину. (1). 12 марта 1877.;
М. М. Стасюлевичу. (1). 12 марта 1877.;
А. А. Трубецкой. (1). 12 марта 1877.;
Н. А. Щепкину. (1). 12 марта 1877.;
А. П. Боголюбову. (1). 14 марта 1877.;
Н. В. Гербелю. (1). 14 марта 1877.;
А. А. Мещерскому. (1). 15 марта 1877.;
Н. М. Спасскому. (1). 15 марта 1877.;
М. М. Стасюлевичу. (1). 15 марта 1877.;
Эмилю Золя. (1). 17 марта 1877.;
М. М. Стасюлевичу. (1). 18 марта 1877.;
Юлиану Шмидту. (1). 18 марта 1877.;
М. М. Стасюлевичу. (1). 25 марта 1877.;
Ф. М. Достоевскому. (1). 28 марта 1877.;
А. Н. Островскому. (1). 28 марта 1877.;
А. Ф. Писемскому. (1). 28 марта 1877.;
М. М. Стасюлевичу. (1). 29 марта 1877.;
А. В. Головнину. (1). 3 апреля 1877.;
М. М. Стасюлевичу. (1). 4 апреля 1877.;
Ю. П. Вревской. (1). 7 апреля 1877.;
А. М. Жемчужникову. (1). 7 апреля 1877.;
Я. П. Полонскому. (1). 7 апреля 1877.;
Вильяму Рольстону. (1). 7 апреля 1877.;
А. В. Топорову. (1). 7 апреля 1877.;
Н. А. Щепкину. (1). 7 апреля 1877.;
М. М. Стасюлевичу. (1). 9 апреля 1877.;
Я. П. Полонскому. (1). 10 апреля 1877.;
Редакции «Нашего века». (1). 11 апреля 1877.;
Е. И. Рагозину. (1). 12 апреля 1877.;
М. А. Милютиной. (1). 13 апреля 1877.;
Паулю Линдау. (1). 13 апреля 1877.;
Е. И. Рагозину. (1). 13 апреля 1877.;
М. М. Стасюлевичу. (1). 13 апреля 1877.;
Юлиану Шмидту. (1). 13 апреля 1877.;
Полине Брюэр. (1). 15 апреля 1877.;
А. Н. Тургеневу. (1). 16 апреля 1877.;
Полине Брюэр. (1). 15 апреля 1877.;
Паулю Линдау. (1). 18 апреля 1877.;
М. А. Милютиной. (1). 19 апреля 1877.;
Я. П. Полонскому. (1). 20 апреля 1877.;
Е. И. Рагозину. (1). 20 апреля 1877.;
Юлиусу Роденбергу. (1). 20 апреля 1877.;
М. М. Стасюлевичу. (1). 20 апреля 1877.;
А. В. Топорову. (1). 20 апреля 1877.;
Н. С. Тургеневу. (1). 20 апреля 1877.;
М. С. Волконскому. (1). Весна 1877.;
Жюлю Кларти. (1). 22 апреля 1877.;
Жюлю Этцелю. (1). 22 апреля 1877.;
Жюлю Этцелю. (1). 25 апреля 1877.;
Е. С. Рахмановой. (1). 25 апреля 1877.;
Кларе Тургеневой. (1). 25 апреля 1877.;
Ю. П. Вревской. (1). 28 апреля 1877.;
М. М. Стасюлевичу. (1). 28 апреля 1877.;
Госпоже Зографо. (1). 29 апреля 1877.;
Редакции «Нашего века». (1). 30 апреля 1877.;
Е. И. Рагозину. (1). 1 мая 1877.;
Е. И. Рагозину. (1). 2 мая 1877.;
Н. С. Тургеневу. (1). 2 мая 1877.;
Полине Брюэр. (1). 4 мая 1877.;
Генри Джеймсу. (1). 4 мая 1877.;
А. В. Топорову. (1). 4 мая 1877.;
П. В. Анненкову. (1). 5 мая 1877.;
Виктору Дерели. (1). 5 мая 1877.;
Гиде Мопассану. (1). 5 мая 1877.;
А. Ф. Писемскому. (1). 5 мая 1877.;
Редакции «Нашего века». (1). 5 мая 1877.;
Е. И. Рагозину. (1). 5 мая 1877.;
Луи Депре. (1). 6 мая 1877.;
Эмилю Золя. (1). 6 мая 1877.;
Кларе Тургеневой. (1). 6 мая 1877.;
Редактору «Le Temps». (1). 6 мая 1877.;
Гюставу Флоберу. (1). 7 мая 1877.;
Э. С. Полторацкой. (1). 10 мая 1877.;
М. М. Стасюлевичу. (1). 11 мая 1877.;
А. А. Трубецкой. (1). 11 мая 1877.;
Ю. П. Вревской. (1). 12 мая 1877.;
В. А. Соллогубу. (1). 12 мая 1877.;
Е. С. Рахмановой. (1). Конец апреля — 13 мая 1877.;
Вильяму Рольстону. (1). 15 мая 1877.;
Гюставу Флоберу. (1). 15 мая 1877.;
Н. А. Щепкину. (1). 15 мая 1877.;
И. И. Маслову. (1). 16 мая 1877.;
М. М. Стасюлевичу. (1). 16 мая 1877.;
А. В. Топорову. (1). 16 мая 1877.;
А. А. Трубецкой. (1). 16 мая 1877.;
Юлиану Шмидту. (1). 18 мая 1877.;
Юлиану Шмидту. (1). 19 мая 1877.;
Н. С. Тургеневу. (1). 23 мая 1877.;
Н. А. Щепкину. (1). 23 мая 1877.;
Я. П. Полонскому. (1). 24 мая 1877.;
Н. С. Тургеневу. (1). 29 мая июня 1877.;
Е. И. Бларамберг. (1). 1 июня 1877.;
Клоди Шамро. (1). 1 июня 1877.;
Н. А. Щепкину. (1). 1 июня 1877.;
И. И. Маслову. (1). 2 июня 1877.;
Жюлю Валлесу. (1). 3 июня 1877.;
Я. П. Полонскому. (1). 3 июня 1877.;
Н. С. Тургеневу. (1). 3 июня 1877.;
Н. С. Тургеневу. (1). 5 июня 1877.;
Н. А. Щепкину. (1). 7 июня 1877.;
А. П. Заблоцкому-Десятовскому. (1). 9 июня 1877.;
Клоди Шамро. (1). 9 июня 1877.;
Эмилю Золя. (1). 9 июня 1877.;
Е. И. Бларамберг. (1). 10 июня 1877.;
Н. С. Тургеневу. (1). 10 июня 1877.;
Е. И. Бларамберг. (1). 12 июня 1877.;
Н. С. Тургеневу. (1). 12 июня 1877.;
Н. А. Щепкину. (1). 12 июня 1877.;
Н. А. Щепкину. (1). 12 июня 1877.;
В. Я. Карташевской. (1). 16 июня 1877.;
Е. И. Бларамберг. (1). 17 июня 1877.;
И. И. Маслову. (1). 17 июня 1877.;
Н. С. Тургеневу. (1). 17 июня 1877.;
Н. С. Тургеневу. (1). 18 июня 1877.;
Клоди Шамро. (1). 18 июня 1877.;
Я. П. Полонскому. (1). 19 июня 1877.;
М. П. Тургеневой. (1). 19 июня 1877.;
А. А. Голенищеву-Кутузову. (1). 22 июня 1877.;
Ф. И. Салаеву. (1). 22 июня 1877.;
Н. А. Щепкину. (1). 23 июня 1877.;
А. Ф. Родионовой. (1). 23 июня 1877.;
Н. С. Тургеневу. (1). 23 июня 1877.;
П. В. Анненкову. (1). 29 июня 1877.;
Эмилю Золя. (1). 29 июня 1877.;
Гюставу Флоберу. (1). 29 июня 1877.;
