"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Луи Поме. (1). 12 апреля 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Н. С. Тургеневу. (1). 17 апреля 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Людвигу Пичу. (1). 18 апреля 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Н. В. Щербаню. (1). 24 апреля 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"П. В. Анненкову. (1). 25 апреля 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Полине Виардо. (1). 1 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Валентине Делессер. (1). 2 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Полине Тургеневой. (1). 7 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"П. В. Анненкову. (1). 11 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"В. П. Боткину. (1). 18 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"П. В. Анненкову. (1). 21 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Н. В. Щербаню. (1). 21 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Людвигу Пичу. (1). 27 мая 1864.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 6. Письма, апрель 1864 - декабрь 1865. М.: Наука, 1989. 366, [1] с., [1] л. портр.";1989;"письмо";"односторонняя";"Луи Поме. (1). 30 мая 1864.";;
