"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"H. A. Кишинскому. (1). 12 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"H. В. Ханыкову. (1). 12 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"А. М. Жемчужникову. (1). 15 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"П. В. Анненкову. (1). 16 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"И. П. Борисову. (1). 16 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"M. Н. Каткову. (1). 16 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"Н. А. Кишинскому. (1). 16 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"Н. А. Кишинскому. (1). 17 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"Жюлю Этцелю. (1). 17 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"А. П. Голицыну. (1). 19 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"Ф. М. Достоевскому. (1). Январь 1860 — 22 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"А. П. Голицыну. (1). 23 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"А. М. Жемчужникову. (1). 23 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"А. П. Голицыну. (1). 28 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"Н. А. Кишинскому. (1). 28 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"О. А. Новиковой. (1). 29 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"M. М. Сласюлевичу. (1). 29 июня 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"П. В. Анненкову. (1). 6 июля 1867.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 8. Письма, июнь 1867 - июнь 1868. М.: Наука, 1990. 413, [1] с., [1] л. портр.: ил.";1990;"письмо";"односторонняя";"Н. В. Ханыкову. (1). 12 июля 1867.";;
