"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 7 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 7, 8 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Н. А. Кишинскому. (1). 8 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Н. А. Кишинскому. (1). 12 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 13 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 13, 14 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Брюэр. (1). 14 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 15 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 15 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 15, 16 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 19 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 20, 21 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Л. А. Фету. (1). 23 июня 1868.";;
"Тургенев, Иван Сергеевич";" писатель, поэт, публицист, драматург, переводчик";"Тургенев И.С. Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 9. Письма, июнь 1868 - май 1869. М.: Наука, 1995. 478, [1] с., [1] л. портр.: факс.";1995;"письмо";"односторонняя";"Полине Виардо. (1). 23, 24 июня 1868.";;
