"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). июль 1820.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 8 августа 1820.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). октябрь 1820.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). до 25 ноября 1820.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). около 25 ноября 1820.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). между 20 февраля и 9 апреля 1821.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). апрель — май 1821.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). май 1821.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (3). июнь (до 21) 1821.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 23 июня 1821.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 2 октября 1821.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). октябрь 1821.";;
"Тютчев, Фёдор Иванович";" лирик, поэт-мыслитель, дипломат и чиновник";"Тютчев Ф. И. Полное собрание сочинений и писем: В 6 т. — М.: Издат. центр ""Классика"" Т. 4: Письма 1820—1849 — 2004 ";2004;"письмо";"односторонняя / двусторонняя";"М. П. Погодину. (1). 12 октября 1821.";;
