"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Е. Д. Турчаниновой. (1). 20 ноября 1795.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Е. Д. Турчаниновой. (1). 20 декабря 1795.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Е. Д. Турчаниновой. (1). начало января (после 6-го) 1796.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Г. Р. Державину. (1). январь 1799.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"И. П. Тургеневу. (1). 17 февраля 1799.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. Ф. Мерзлякову. (1). 22 августа 1800.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Е. Д. Турчаниновой. (1). вторая половина 1800.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Д. Н. Блудову. (1). середина ноября (после 12-го) 1801.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"А. М. Соковниной. (1). первая половина 1802.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Полное собрание сочинений и писем: В 20 т. — М.: Издательский Дом ЯСК Т. 15: Письма 1795—1817-х годов — 2019.";2019;"письмо";"односторонняя / двусторонняя";"Е. А. Протасовой. (1). 21 апреля 1803.";;
