"автор";"род деятельности";"публикация";"год публикации";"формат публикации (переписка/письмо/отрывки/отрывок)";"односторонняя / двусторонняя";"персоналии";"примечания";"электронный источник"
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). август 1805.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 11 сентября 1805.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 24 декабря 1806.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). июль 1807.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 15 сентября 1809.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 12 сентября 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 7 ноября 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 4 декабря 1810.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 9 апреля 1813.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 1 февраля 1815.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). июнь 1826.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 20 ноября 1827.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 27 ноября 1827.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 4 декабря 1827.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 2 сентября 1828.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. И. Тургеневу. (1). 23 августа 1831.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). 1 июня 1824.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). 12 ноября 1824.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). 15 — начало 20-х чисел апреля 1825.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). 9 августа 1825.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). не позднее 23 сентября 1825.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). 12 апреля 1826.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). июль 1831.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). август 1831.";;
"Жуковский, Василий Андреевич";"поэт, переводчик, критик, педагог";"Жуковский В. А. Собрание сочинений: В 4 т. — М.; Л.: Гос. изд-во худож. лит. Т. 4: Одиссея. Художественная проза. Критические статьи. Письма  — 1960.";1960;"письмо";"односторонняя / двусторонняя";"А. С. Пушкину. (1). 24—27 августа 1831.";;
