автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 13 марта 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. X. Кетчеру. (1). конец марта — начало апреля 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. А. Бакунину. (1). 6—8 апреля 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 9 апреля 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;А. А. Краевскому. (1). 9—10 апреля 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;A. А. Краевскому. (1). 9—10 апреля 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Д. П. Иванову. (1). 11 апреля 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;B. П. Боткину. (1). 27—28 июня 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;П. Н. Кудрявцеву. (1). 28 июня 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. Ф. Одоевскому. (1). 29 июня 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;A. А. Краевскому. (1). 18—19 июля 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. X. Кетчеру. (1). 3 августа 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Д. П. Иванову. (1). 25 августа 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. X. Кетчеру. (1). 25 августа 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;B. П. Боткину. (1). 8 сентября 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. А. Бакунину. (1). 9 декабря 1841.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;И. И. Ханенке. (1). 8 февраля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 14 марта 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 17 марта 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Д. П. Иванову. (1). 17 марта 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 31 марта 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;М. В. Орловой. (1). 4 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 4 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;М. Н. Каткову, А. П. Ефремову. (1). 6 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 8 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 13 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;М. С. Щепкину. (1). 14 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. И. Боткину. (1). 15—20 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. В. Гоголю. (1). 20 апреля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). начало июля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). начало июля 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Д. Л. Иванову. (1). 6 ноября 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. А. Бакупину. (1). 7 ноября 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 7 ноября 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 28 ноября 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. А. Бакунину. (1). 28 ноября 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;И. И. Панаеву. (1). 5 декабря 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 9—10 декабря 1842.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 6 февраля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;А. А., В. А., Н. А., Т. Л. Бакуниным. (1). 22—23 февраля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;A. А., Н. А., Т. А. Бакуниным. (1). 8 марта 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;B. П. Боткину. (1). 9 марта 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Д. П. Иванову. (1). 9 марта 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 31 марта — 3 апреля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 17 апреля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;И. С. Тургеневу. (1). ~ 20 апреля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 30 апреля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину. (1). 10—11 мая 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. А. Бакунину. (1). 24 мая 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;В. П. Боткину, А. И. Герцену. (1). 24 мая 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;А. А. Краевскому. (1). 26 июня 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;А. А. Краевскому. (1). 8 июля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;И. С. Тургеневу. (1). 8 июля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;А. А. Краевскому. (1). 22 июля 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;Н. А. Бакунину. (1). 24 августа 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;М. В. Орловой. (1). 3 сентября 1843.;;;;;
Белинский, Виссарион Григорьевич;критик, публицист;Белинский В. Г. Полное собрание сочинений: В 13 т. М., 1956. Т. 12. Письма. 1841-1848. 596 c., факс.: 5 л. факс.;1956;письмо;односторонняя;М. В. Орловой. (1). 7—8 сентября 1843.;;;;;
