автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Э. Ф. Достоевской. (1). 23 января 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 25 января 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Э. Ф. Достоевской. (1). 14 февраля 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 26 февраля 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 8 марта 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 18 марта 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 6 апреля 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 29 апреля 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 15 мая 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;В. И. Веселовскому. (1). 14 августа 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 14 августа 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 14 августа 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 29 августа 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 17 сентября 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 16 октября 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 27 октября 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 23 ноября 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 7 декабря 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;П. А. Исаеву. (1). 10 декабря 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 10 декабря 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 14 декабря 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. М. Достоевскому. (1). 16 декабря 1869.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;П. А. Исаеву. (1). 10 января 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 10 января 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;П. А. Исаеву. (1). 31 января 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 12 февраля 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 26 февраля 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 24 марта 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 25 марта 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Г. Достоевской. (1). 17 апреля 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;В. М., С. А. Ивановым. (1). 7 мая 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 28 мая 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 11 июня 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 2 июля 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;В. В. Кашпиреву. (1). около 15 августа 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 17 августа 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;М. Н. Каткову. (1). 19 сентября 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Редакции журнала «Русский вестник». (1). 7 октября 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;М. Н. Каткову. (1). 8 октября 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 9 октября 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 9 октября 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 9 октября 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 2 декабря 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 15 декабря 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 30 декабря 1870.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;С. А. Ивановой. (1). 6 января 1871.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;П. А. Исаеву. (1). 6 января 1871.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 7 января 1871.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. У. Порецкому. (1). 8 января 1871.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 18 января 1871.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Н. Майкову. (1). 26 января 1871.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;А. Г. Достоевской. (1). 1 февраля 1871.;;;;;
Достоевский, Фёдор Михайлович;писатель, философ, публицист;"Достоевский Ф. М. Полное собрание сочинений: В 30 т. Л.: Наука, 1986. – Т. 29, кн. 1. Письма, 1869-1874. 573, [1] с.; 1 л. портр.";1986;письмо;одностороннее;Н. Н. Страхову. (1). 10 февраля 1871.;;;;;
