source,affiliation,publish,year_of_publish,form_of_publish,one-two-sided,personas,comments,e-source,n-letters,target,year,source_wkid,target_wkid
«Русский художник»,"","Лит. насл., 1956, т. 63, см. указатель имен.",1956,письмо,односторонняя,А. И. Герцену. (1). 27 сент. 1858.,"","",1,Герцен А. И.,1858,Q30501308|Q28701135,
R.,?,"Лит. насл., 1955, т. 62, с. 737—768.",1955,отрывок,односторонняя,Н. П. Огарёву. (1). 22 февр. 1872.,"","",1,Огарёв Н. П.,1872,,
"Абаза, Александр Агеевич","государственный деятель Российской империи; государственный контролёр (1871—1874), министр финансов (1880—1881); действительный тайный советник","Архив села Карабихи. М., К. Некрасов, 1916, с. 41—265.",1916,переписка,односторонняя,Н. А. Некрасову. (8). 1861—6. д.,"","",8,Некрасов Н. А.,1861,Q551333,Q208003
"Абаза, Александр Агеевич","государственный деятель Российской империи; государственный контролёр (1871—1874), министр финансов (1880—1881); действительный тайный советник","Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,письмо,односторонняя,Н. А. Некрасову. (1). 1868.,"","",1,Некрасов Н. А.,1868,Q551333,Q208003
"Авдеев, Михаил Васильевич","критик, беллетрист","Письма к А. В. Дружинину. М., 1948, 423 с. (Летописи Гослитмузея, № 9).",1948,переписка,односторонняя,А. В. Дружинину. (7). 1856—1859.,"","",7,Дружинин А. В.,1856|1859,,
"Авдеев, Михаил Васильевич","критик, беллетрист","Литературное наследство, 1949, т. 51—52, с. 75—568, 627.",1949,переписка,односторонняя,Н. А. Некрасову. (12). 1855—1875.,"","",12,Некрасов Н. А.,1855|1875,,
"Аверкиев, Дмитрий Васильевич","драматург, беллетрист, театральный критик, переводчик","Неизданные письма к А. Н. Островскому. Из архива А. Н. Островского по материалам Театр, музея им. А. А. Бахрушина. М.—Л., «Academia», 1932, 743 с. (Памятники лит. и общ. быта).",1932,переписка,односторонняя,А. Н. Островскому. (5). 1864—1885.,"","",5,Островский А. Н.,1864|1885,,
"Аделунг, Фёдор Павлович","историк, философ, библиограф, член-корреспондент (1809) и почётный член (1838) Петербургской Академии наук","Переписка А. Х. Востокова в повременном порядке. Комм. И. Срезневского. Пб., 1873, XL, 509 с.",1873,переписка,односторонняя,А. Х. Востокову. (2). 1827—1828.,"","",2,Востоков А. Х.,1827|1828,,
"Адлерберг, Александр Владимирович","генерал-адъютант, приближенный Александра II","Переписка Я. К. Грота с П. А. Плетневым, т. II. Пб., 1896, с. 870—872, 880, 881, 890, 891, 897, 901—904, 909—911, 915—919, 929—940, 943, 946—966; т. III. Пб., 1896, с. 718—722, 729, 730, 733—739, 742—744, 748, 754, 757—759, 761, 762, 765—770.",1896,переписка,односторонняя,П. А. Плетнёву. (3). 1849—1853.,"","",3,Плетнёв П. А.,1849|1853,,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.",1888,отрывок,двусторонняя,К. С. Аксакову. (1). 21 мая 1846.,"","",1,Аксаков К. С.,1846,Q467630,Q722730
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.",1888,отрывок,двусторонняя,О. С. Аксаковой. (1). 1841.,"","",1,Аксакова О. С.,1841,Q467630,
"Аксаков, Иван Сергеевич","публицист, поэт","Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.",1888,"переписка, отрывки",двусторонняя,"С. Т., О. С., О. С. Аксаковым. (164). 1844—1848.","","",164,Аксаковы С. Т.,1844|1848,,
