автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. П. Толстому. (1). 2 января 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;Ю. Ф. Самарину. (1). 3 января 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;С. М. Соллогуб. (1). 3 января 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;В. А. Соллогубу. (1). 3 января 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. П. Толстому. (1). 8 января 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;Н. М. Языкову. (1). 8 января 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. О. Смирновой. (1). 27 января 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;В. А. Жуковскому. (1). 6 февраля 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;П. А. Плетневу. (1). 20 февраля 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;Н. М. Языкову. (1). 26 февраля 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. О. Смирновой. (1). 4 марта 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;В. А. Жуковскому. (1). 16 марта 1846.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М.: Изд-во АН СССР, 1952. Т. 13. Письма. 1846-1847. 564 с., ил.: 5 л. ил.;1952;письмо;односторонняя / двусторонняя;П. А. Плетневу. (1). 20 марта 1846.;;;;;
