автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;В. А. Жуковскому. (1). 10 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;М. А. Константиновскому. (1). 12 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;Н. Н. Шереметевой. (1). 12 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;М. И. Гоголь. (1). 15 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. А. Иванову. (1). 18 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. П. Толстому. (1). 22 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. М. Вьельгорской. (1). 23 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;С. П. Шевыреву. (1). 23 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;Н. Н. Шереметевой. (1). 23 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;А. П. Толстому. (1). 27 января 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;В. А. Жуковскому. (1). 16 февраля 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;М. А. Константиновскому. (1). 16 февраля 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;М. И., А. В., Е. В., О. В. Гоголь. (1). 17 февраля 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;Н. Н. Шереметевой. (1). 17 февраля 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;М. А. Базили. (1). 18 февраля 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;С. П. Шевыреву. (1). 18 марта 1848.;;;;;
Гоголь, Николай Васильевич;писатель;Гоголь Н. В. Полное собрание сочинений. М., 1952. Т. 14. Письма. 1848-1852. 487 с., 5 л. ил.;1952;письмо;односторонняя / двусторонняя;П. А. Плетневу. (1). 2 апреля 1848.;;;;;
