автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Е. В. Толстой. (1). 19 сентября 1855.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Е. В. Толстой. (1). 25 октября 1855.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Н. А. Некрасову. (1). 10 января 1856.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Н. А. Некрасову. (1). 30 января 1856.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;И. И. Льховскому. (1). 25 июня 1857.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;И. И. Льховскому. (1). 15 июля 1857.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Ю. Д. Ефремовой. (1). 29 июля 1857.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;И. И. Льховскому. (1). 2 августа 1857.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;И. И. Льховскому. (1). 22 августа 1857.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;И. И. Льховскому. (1). 5 ноября 1858.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;Л. Н. Толстому. (1). 4 декабря 1858.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;П. В. Анненкову. (1). 8 декабря 1858.;;;;;
Гончаров, Иван Александрович;писатель;Гончаров И. А. Избранные письма // Гончаров И. А. Собрание сочинений: В 8 т. М.: Гос. изд-во худож. лит., 1952—1955. Т. 8. Статьи, заметки, рецензии, автобиографии, избранные письма. 1955. С. 231—502. ;1955;письмо;одностороннее;В. П. Боткину. (1). 30 января 1859.;;;;;
