"person_id";"person_wikidata_id";"person_name";"person_full_name";"person_other_names";"sex";"year_birth";"year_death";"occupation";"other"
1;"random_id0f73face35a11eb0e221feb68ceaef456eabb679";"«Русский художник», ";"«Русский художник»";"";"";"";"";"";""
2;"Q201221";"Герцен, А. И.";"Герцен, Александр Иванович";"";"";"1812";"1870";"";""
3;"Q551333";"Абаза, А. А.";"Абаза, Александр Агеевич";"";"";"1821";"1895";"государственный деятель Российской империи; государственный контролёр (1871—1874), министр финансов (1880—1881); действительный тайный советник";""
4;"Q208003";"Некрасов, Н. А.";"Некрасов, Николай Алексеевич";"";"";"1821";"1878";"";""
5;"Q1960437";"Авдеев, М. В.";"Авдеев, Михаил Васильевич";"";"";"1821";"1876";"критик, беллетрист";""
6;"Q2628103";"Дружинин, А. В.";"Дружинин, Александр Васильевич";"";"";"1824";"1864";"";""
7;"Q3920902";"Аверкиев, Д. В.";"Аверкиев, Дмитрий Васильевич";"";"";"1836";"1905";"драматург, беллетрист, театральный критик, переводчик";""
8;"Q171976";"Островский, А. Н.";"Островский, Александр Николаевич";"";"";"1823";"1886";"";""
9;"Q64437";"Аделунг, Ф. П.";"Аделунг, Фёдор Павлович";"";"";"1768";"1843";"историк, философ, библиограф, член-корреспондент (1809) и почётный член (1838) Петербургской Академии наук";""
10;"random_id4e550a04fd564a1fda8e1a8e33ae0bdf8ae3b044";"Востоков, А. Х.";"Востоков, Александр Христофорович";"";"";"";"";"";""
11;"Q4057501";"Адеркас, Б. А.";"Адеркас, Борис Антонович";"";"";"1775";"1831";"генерал-майор, действительный статский советник, Псковский и Воронежский губернатор";""
12;"Q7200";"Пушкин, А. С.";"Пушкин, Александр Сергеевич";"";"";"1799";"1837";"";""
13;"Q4057611";"Адлерберг, А. В.";"Адлерберг, Александр Владимирович";"";"";"1818";"1888";"генерал-адъютант, приближенный Александра II";""
14;"Q2993843";"П. А Плетнёв";"Плетнёв, Пётр Александрович";"";"";"1792";"1866";"";""
15;"Q467630";"Аксаков, И. С.";"Аксаков, Иван Сергеевич";"";"";"1823";"1886";"публицист, поэт";""
16;"random_idf6250c1ede6de10beddd9d2c4d05d851a0651fcb";"Гвоздев, А. А.";"";"";"";"";"";"";""
17;"random_id5ae7ba29f60bcb7bc20a3732ebc7025923997958";"Блудова, А. Д.";"";"";"";"";"";"";""
18;"Q4237025";"Кошелев, А. И.";"Кошелев, Александр Иванович";"";"";"1806";"1883";"";""
19;"Q212575";"Толстой, А. К.";"Толстой, Алексей Константинович";"";"";"1817";"1875";"";""
20;"Q1958084";"Жемчужников, А. М.";"Жемчужников, Алексей Михайлович";"";"";"1821";"1908";"";""
21;"random_id9f8befa30a6fbb7e261c5565890ae8c9f4495a57";"Молчанов, А.";"";"";"";"";"";"";""
22;"Q4424797";"Смирнова, А. О.";"Смирнова, Александра Осиповна";"";"";"1809";"1882";"";""
23;"random_id812859e6c00c759c61f2045fe4c2587a187e9fd1";"Елагина, А. П.";"Елагина, Авдотья Петровна";"";"";"";"";"";""
24;"Q2066821";"Суворин, А. А.";"Суворин, Алексей Сергеевич";"";"";"1834";"1912";"";""
25;"random_id091918cfc24f38845f3e12c8cd63905e4c303f04";"Хомутов, А. С.";"";"";"";"";"";"";""
26;"Q358497";"Хомяков, А. С.";"Хомяков, Алексей Степанович";"";"";"1804";"1860";"";""
27;"random_id50f162bc72f813f4fc5bf9a52998c8341116729a";"Гильфердинг, А. Ф.";"";"";"";"";"";"";""
28;"random_idf2b48d129e24a6a146b3e46eff0d3cec559b10c0";"Орлов, А. Ф.";"";"";"";"";"";"";""
29;"random_id471357a3894674936399c63d78fab69ac98c3efb";"Тютчева, А. Ф.";"";"";"";"";"";"";""
30;"random_id8c87c05d26bd3573d9b06faed0ad8e207ea8d518";"Белинский, В. А.";"";"";"";"";"";"";""
31;"random_id77ba79b6ef3a86d5de65447683e9fea6f566f6c9";"Елагин, В. А.";"";"";"";"";"";"";""
32;"Q1978355";"Черкасские, В. А.";"";"";"";"1824";"1878";"";""
33;"random_id63e7b7b83f849e4da9a2288834108adca152e3b3";"Черкасские, Е. А.";"";"";"";"";"";"";""
34;"random_id0f9c35ce59cb2d912318d983715f589ffdee965f";"Ганка, В. В.";"";"";"";"";"";"";""
35;"random_id14c843fc111e478d163c399c8193e38178ecfd19";"Ламанский, В. И.";"";"";"";"";"";"";""
36;"random_ideb4afdd0ce0492f3f31d71fd902049cdee4ec4eb";"Безобразов, В. П.";"";"";"";"";"";"";""
37;"Q282280";"Соловьёв, В.";"Соловьёв, Владимир Сергеевич";"";"";"1853";"1900";"";""
38;"random_id1c5ba2cc743a0365021eed184b1211bc30abf437";"Пуцыкович, В. Ф.";"";"";"";"";"";"";""
39;"random_idee34bcca774a8bc996ebf78fbbf2855508b59a09";"Галаган, Г. П.";"";"";"";"";"";"";""
40;"Q1968651";"Данилевский, Г. П.";"Данилевский, Григорий Петрович";"";"";"1829";"1890";"";""
41;"Q4329523";"Оболенский, А. Д.";"";"";"";"1822";"1881";"";""
42;"random_id716f526150afe3717ecac0c5f989b8da269d83fc";"Перовский, Д. А.";"";"";"";"";"";"";""
43;"Q709419";"Остен-Сакен, Д. Е.";"";"";"";"1793";"1881";"";""
44;"random_idde764621f04149addd3c07276e1b71fb9117bf5b";"Тютчева, Д. Ф.";"";"";"";"";"";"";""
45;"random_id62aecc85fea3bc2e025b1d07d32fd446d4b9918e";"Елагина, Е. И.";"";"";"";"";"";"";""
46;"Q1047353";"Ковалевский, Е. П.";"Ковалевский, Егор Петрович";"";"";"1809";"1868";"";""
47;"random_id5e41066515d35cf7ada1ae23d7d846372512d0eb";"Тютчев, Е.";"";"";"";"";"";"";""
48;"random_idba099438ea58cc35ff58549cdb825e962844e452";"Тютчев, Д.";"";"";"";"";"";"";""
49;"random_id36061e482c0a7b36b1eeebffeb066cf4979754bf";"Великопольский, И. Е.";"";"";"";"";"";"";""
50;"Q4074504";"Бабст, И. К.";"";"И. К.";"";"1823";"1881";"";""
51;"Q42831";"Тургенев, И. С.";"Тургенев, Иван Сергеевич";"";"";"1818";"1883";"";""
52;"random_idcf41f9990c41ec038ae1669a00d3cb005ae62896";"Грот, К. К.";"";"";"";"";"";"";""
53;"random_id3454adb52fe592fe2de1b41cda96bf20cbf97a6c";"Тихонравов, К. Н.";"";"";"";"";"";"";""
54;"Q359754";"Победоносцев, К. П.";"Победоносцев, Константин Петрович";"";"";"1827";"1907";"";""
55;"Q722730";"Аксаков, К.";"Аксаков, Константин Сергеевич";"";"";"1817";"1860";"";""
56;"random_idf6d5cfa0f8a90278a7bd6dce5ae1580ee37420ee";"Головин, К. Ф.";"";"";"";"";"";"";""
57;"random_id0e6abcb24943d7c4968ebab90ddedae268bb0373";"Соболев, Л. Н.";"";"";"";"";"";"";""
58;"Q2639333";"Максимович, М. А.";"Максимович, Михаил Александрович";"";"";"1804";"1873";"";""
59;"Q4531781";"Энгельгардт, М. А.";"Энгельгардт, Михаил Александрович";"";"";"1861";"1915";"";""
60;"Q441628";"Катков, М.";"Катков, Михаил Никифорович";"";"";"1818";"1887";"";""
61;"random_id92479f61fd1ca512787890fd2dc1bf7fabba5789";"Аксакова-Томашевская, М. С.";"";"";"";"";"";"";""
62;"Q1930246";"Раевский, М. Ф.";"Раевский, Михаил Фёдорович";"";"";"1811";"1884";"";""
63;"Q4275290";"Макарий";"";"епископу Вятскому";"";"1875";"1937";"";""
64;"random_ida364f3de752fc02160a8a6dc484b5ae2b879e3f8";"Елагин, Н. А.";"";"";"";"";"";"";""
65;"Q4506700";"Чаев, Н. А.";"Чаев, Николай Александрович";"";"";"1824";"1914";"";""
66;"Q43718";"Гоголь, Н. В.";"Гоголь, Николай Васильевич";"";"";"1809";"1852";"";""
67;"random_id0cbbf9836a74d328b47a8e17f885fe7c90dfe79c";"Геров, Н.";"";"";"";"";"";"";""
68;"Q742659";"Костомаров, Н. И.";"Костомаров, Николай Иванович";"";"";"1817";"1885";"";""
69;"Q4341535";"Бицын, Н.";"";"";"";"1835";"1906";"";""
70;"random_id85313a8fd8612687a687a740b03eea02238a0464";"Анке, Н. Н.";"";"";"";"";"";"";""
71;"random_id52255f9ef1c5eab4233d9e7c94d71214689ecf02";"Гиляров-Платонов, Н. П.";"";"";"";"";"";"";""
72;"random_idab0af9fdecb8120f4cda2875a8fc755297a11cf8";"Марков, Н. П.";"";"";"";"";"";"";""
73;"Q209004";"Лесков, Н. С.";"Лесков, Николай Семёнович";"";"";"1831";"1895";"";""
74;"Q4430133";"Соханская, Н. С.";"Соханская, Надежда Степановна";"Кохановской";"";"1823";"1884";"";""
75;"random_id4c4d5d6782143bba6bb666796decfd03255d2a28";"Неизвестная";"";"";"";"";"";"";""
76;"random_id8faeb2a3b95b6970e60d23f65e144c32a529b13a";"Неизвестный";"";"";"";"";"";"";""
77;"random_id1ec1f17b2d6c0a86d93b5c88142e3088c85c2a1f";"Неизвестные";"";"";"";"";"";"";""
78;"random_idbc839656d68909c9b1a7eec5a6872ec91f0c16ac";"Новикова, О. А.";"";"";"";"";"";"";""
79;"random_idc8ff8da1cd7d8a94f8f7f3103cb6efd0a6354416";"Смирнова, О. Н.";"";"";"";"";"";"";""
80;"random_id708e7792ea5c646829a66e803b0cb0cdec460d7f";"Аксакова, О. С.";"Аксакова, Ольга Семеновна";"";"";"";"";"";""
81;"random_idafecf1b4329c8d87eca7b0271d4d98a30a2f6b5b";"Агапеев, П.";"";"";"";"";"";"";""
82;"random_idd4e74ec2ad922d4a0faba767dd0cd7cc4044affb";"Голохвастов, П. Д.";"";"";"";"";"";"";""
83;"Q4078671";"Бартенев, П. И.";"Бартенев, Пётр Иванович";"";"";"1829";"1912";"";""
84;"Q325788";"Фадеев, Р. А.";"";"";"";"1824";"1883";"";""
85;"random_idcee9853aab14367dbc96343084cbd52712d92f63";"ред. «Отечественных записок»";"";"";"";"";"";"";""
