"from";"to";"n_letters";"letter_year_start";"letter_year_end";"lettermonthstart";"lettermonthend";"source_id";"source_pages";"publication_year_start";"publication_year_end";"publication_type"
1;2;"1";"27 сент. 1858";"27 сент. 1858";"";"";1;"";"1956";"1956";"письмо"
3;4;"1";"1868";"1868";"";"";2;"";"1949";"1949";"письмо"
3;4;"8";"1861—6. д";"1861—6. д";"";"";3;"";"1916";"1916";"переписка"
5;6;"7";"1856—1859";"1856—1859";"";"";4;"";"1948";"1948";"переписка"
5;4;"12";"1855—1875";"1855—1875";"";"";2;"";"1949";"1949";"переписка"
7;8;"5";"1864—1885";"1864—1885";"";"";5;"";"1932";"1932";"переписка"
9;10;"2";"1827—1828";"1827—1828";"";"";6;"";"1873";"1873";"переписка"
11;12;"1";"3 сентября 1826";"3 сентября 1826";"";"";7;"";"1996";"1996";"письмо"
13;14;"3";"1849—1853";"1849—1853";"";"";8;"";"1896";"1896";"переписка"
15;16;"1";"22 февр. 1851";"22 февр. 1851";"";"";9;"";"1888";"1888";"переписка"
15;17;"1";"20 дек. 1857";"20 дек. 1857";"";"";10;"";"1948";"1948";"отрывок"
15;17;"1";"31 окт.—12 ноября 1860";"31 окт.—12 ноября 1860";"";"";11;"";"1915";"1915";"письмо"
15;17;"50";"1861—1862";"1861—1862";"";"";12;"";"1896";"1896";"переписка"
15;2;"1";"16/28 окт. 1857";"16/28 окт. 1857";"";"";13;"";"1883";"1883";"письмо"
15;2;"2";"1860—7 июня 1861";"1860—7 июня 1861";"";"";14;"";"1928";"1928";"переписка"
15;2;"2";"Б. д";"Б. д";"";"";15;"";"1919; 1920";"1919; 1920";"переписка"
15;2;"5";"1857—1861";"1857—1861";"";"";16;"";"1894";"1894";"переписка"
15;18;"3";"1852—1853";"1852—1853";"";"";17;"";"1892";"1892";"переписка"
15;18;"7";"1853—1855";"1853—1855";"";"";18;"";"1892";"1892";"переписка"
15;19;"3";"1858—1861";"1858—1861";"";"";19;"";"1905";"1905";"переписка"
15;20;"1";"Б. д";"Б. д";"";"";20;"";"1959";"1959";"отрывок"
15;21;"5";"1885";"1885";"";"";21;"";"1886";"1886";"отрывки"
15;22;"23";"1849—1880";"1849—1880";"";"";22;"";"1895";"1895";"переписка"
15;23;"1";"Б. д";"Б. д";"";"";23;"";"1909";"1909";"письмо"
15;24;"13";"1872—1884";"1872—1884";"";"";24;"";"1927";"1927";"переписка"
15;25;"1";"24 дек. 1852";"24 дек. 1852";"";"";25;"";"1886";"1886";"письмо"
15;26;"1";"21 июня 1853";"21 июня 1853";"";"";26;"";"1892";"1892";"письмо"
15;27;"1";"12 ноября 1870";"12 ноября 1870";"";"";27;"";"1935";"1935";"письмо"
15;28;"1";"1 сент. 1853";"1 сент. 1853";"";"";18;"";"1892";"1892";"письмо"
15;29;"26";"1865";"1865";"";"";12;"";"1896";"1896";"переписка"
15;30;"1";"7 окт. 1880";"7 окт. 1880";"";"";28;"";"1894";"1894";"письмо"
15;31;"1";"20 ноября 1878";"20 ноября 1878";"";"";29;"";"1909";"1909";"письмо"
15;32;"14";"1852—1861";"1852—1861";"";"";30;"";"1901";"1901";"переписка"
15;32;"2";"19 марта—25 апр. 1877";"19 марта—25 апр. 1877";"";"";31;"";"1948";"1948";"отрывки"
15;32;"25";"1875—1878";"1875—1878";"";"";32;"";"1948";"1948";"переписка"
15;33;"25";"1875—1878";"1875—1878";"";"";32;"";"1948";"1948";"переписка"
15;34;"3";"1858—1870";"1858—1870";"";"";33;"";"1905";"1905";"переписка"
15;35;"1";"27 окт. 1858";"27 окт. 1858";"";"";10;"";"1948";"1948";"отрывок"
15;35;"24";"1858—1862";"1858—1862";"";"";34;"";"1916";"1916";"переписка"
15;36;"6";"1857—1858";"1857—1858";"";"";35;"";"1901";"1901";"переписка"
15;37;"5";"1882—1884";"1882—1884";"";"";36;"";"1913";"1913";"переписка"
15;38;"12";"1878—1880";"1878—1880";"";"";37;"";"1887";"1887";"переписка"
15;38;"13";"1878—1886";"1878—1886";"";"";38;"";"1924";"1924";"переписка"
15;39;"4";"1854—1876";"1854—1876";"";"";39;"";"1902";"1902";"переписка"
15;39;"4";"1879—1885";"1879—1885";"";"";40;"";"1902";"1902";"переписка"
15;40;"1";"Б. д";"Б. д";"";"";41;"";"1903";"1903";"отрывок"
15;40;"3";"1859";"1859";"";"";42;"";"1893";"1893";"переписка"
15;40;"4";"1853—1863";"1853—1863";"";"";41;"";"1903";"1903";"переписка"
15;41;"1";"25 февр. 1855";"25 февр. 1855";"";"";18;"";"1892";"1892";"письмо"
15;41;"6";"1839—1848";"1839—1848";"";"";43;"";"1888";"1888";"отрывки"
15;42;"4";"1850—1851";"1850—1851";"";"";9;"";"1888";"1888";"переписка"
15;7;"1";"22 авг. 1881";"22 авг. 1881";"";"";44;"";"1916";"1916";"письмо"
15;43;"2";"1877";"1877";"";"";45;"";"1903";"1903";"переписка"
15;44;"1";"28 июля 1874";"28 июля 1874";"";"";12;"";"1896";"1896";"письмо"
15;45;"6";"1856";"1856";"";"";18;"";"1892";"1892";"переписка"
15;46;"1";"?";"?";"";"";46;"";"1901";"1901";"письмо"
15;46;"1";"29 янв. 1861";"29 янв. 1861";"";"";10;"";"1948";"1948";"отрывок"
15;46;"1";"4 ноября 1858";"4 ноября 1858";"";"";47;"";"1888";"1888";"письмо"
15;47;"6";"1876";"1876";"";"";48;"";"1901";"1901";"переписка"
15;48;"6";"1876";"1876";"";"";48;"";"1901";"1901";"переписка"
15;49;"2";"1859—1862";"1859—1862";"";"";49;"";"1902";"1902";"переписка"
15;50;"7";"1866—1868";"1866—1868";"";"";50;"";"1912";"1912";"переписка"
15;51;"14";"1852—1861";"1852—1861";"";"";51;"";"1894";"1894";"переписка"
15;52;"2";"20 апр. 1877 — 5 авг. 1878";"20 апр. 1877 — 5 авг. 1878";"";"";52;"";"1915";"1915";"переписка"
15;53;"1";"8 дек. 1866";"8 дек. 1866";"";"";53;"";"1900";"1900";"письмо"
15;54;"1";"15 февр. 1882";"15 февр. 1882";"";"";54;"";"1923";"1923";"письмо"
15;54;"1";"2 дек. 1870";"2 дек. 1870";"";"";55;"";"1928";"1928";"письмо"
15;54;"20";"1876—1885";"1876—1885";"";"";56;"";"1894";"1894";"переписка"
15;55;"1";"21 мая 1846";"21 мая 1846";"";"";43;"";"1888";"1888";"отрывок"
15;55;"1";"8 марта 1840";"8 марта 1840";"";"";57;"";"1952";"1952";"отрывок"
15;55;"2";"1856—1860";"1856—1860";"";"";18;"";"1892";"1892";"переписка"
15;55;"4";"1849—1850, 1850—1851";"1849—1850, 1850—1851";"";"";9;"";"1888";"1888";"переписка"
15;56;"5";"1884";"1884";"";"";58;"";"1903";"1903";"переписка"
15;57;"1";"5 окт. 1882";"5 окт. 1882";"";"";59;"";"1911";"1911";"письмо"
15;58;"5";"1858—1862";"1858—1862";"";"";60;"";"1908";"1908";"переписка"
15;59;"2";"1882";"1882";"";"";61;"";"1882";"1882";"переписка"
15;5;"2";"26 июля 1852—22 дек. 1853";"26 июля 1852—22 дек. 1853";"";"";62;"";"1902";"1902";"переписка"
15;60;"1";"9 авг. 1877";"9 авг. 1877";"";"";31;"";"1948";"1948";"отрывок"
15;61;"2";"1885";"1885";"";"";63;"";"1907";"1907";"переписка"
