"auth_wikidataid";"dest_wikidataid";"auth_fio_short";"dest_fio_short";"weight"
"random_id0f73face35a11eb0e221feb68ceaef456eabb679";"Q201221";"«Русский художник», ";"Герцен, А. И.";1
"random_id8a8bd22d05fd1dbae630559d3f03b658c1424dbe";"Q7200";"III Отделение, ";"Пушкин, А. С.";1
"random_id7866da23e6199b52da9bd87366997b14162ece25";"Q374362";"R., ";"Огарёв, Н. П.";1
"random_ide63e586bae8d7fce461dac41b860de76c8169fbf";"Q7200";"А. Бальш, ";"Пушкин, А. С.";1
"random_idccd4cdfde5fe6dd10d563bef54350bcc67bd71f3";"Q7200";"А. Лестрелен, ";"Пушкин, А. С.";1
"Q551333";"Q208003";"Абаза, А. А.";"Н. А Некрасов";2
"Q1960437";"Q2628103";"Авдеев, М. В.";"Дружинин, А. В.";2
"Q1960437";"Q208003";"Авдеев, М. В.";"Н. А Некрасов";8
"Q3920902";"Q171976";"Аверкиев, Д. В.";"Островский, Н. Н.";5
"Q64437";"random_id4e550a04fd564a1fda8e1a8e33ae0bdf8ae3b044";"Аделунг, Ф. П.";"Востоков, А. Х.";1
"Q4057501";"Q7200";"Адеркас, Б. А.";"Пушкин, А. С.";2
"Q4057611";"Q2993843";"Адлерберг, А. В.";"Плетнёв, П А.";1
"Q467630";"random_idf6250c1ede6de10beddd9d2c4d05d851a0651fcb";"Аксаков, И. С.";"Гвоздев, А. А.";1
"Q467630";"random_id5ae7ba29f60bcb7bc20a3732ebc7025923997958";"Аксаков, И. С.";"Блудова, А. Д.";3
"Q467630";"Q201221";"Аксаков, И. С.";"Герцен, А. И.";4
"Q467630";"Q4237025";"Аксаков, И. С.";"Кошелёв, А. И.";3
"Q467630";"Q212575";"Аксаков, И. С.";"Толстой, А. К.";4
"Q467630";"Q1958084";"Аксаков, И. С.";"Жемчужников, А. М.";1
"Q467630";"random_id9f8befa30a6fbb7e261c5565890ae8c9f4495a57";"Аксаков, И. С.";"Молчанов, А.";1
"Q467630";"Q4424797";"Аксаков, И. С.";"Смирнова, А. О.";1
"Q467630";"random_id812859e6c00c759c61f2045fe4c2587a187e9fd1";"Аксаков, И. С.";"Елагина, А. П.";1
"Q467630";"Q2066821";"Аксаков, И. С.";"Суворин, А. А.";2
"Q467630";"random_id091918cfc24f38845f3e12c8cd63905e4c303f04";"Аксаков, И. С.";"Хомутов, А. С.";1
"Q467630";"Q358497";"Аксаков, И. С.";"Хомяков, А. С.";1
"Q467630";"random_id50f162bc72f813f4fc5bf9a52998c8341116729a";"Аксаков, И. С.";"Гильфердинг, А. Ф.";1
"Q467630";"random_idf2b48d129e24a6a146b3e46eff0d3cec559b10c0";"Аксаков, И. С.";"Орлов, А. Ф.";1
"Q467630";"random_id471357a3894674936399c63d78fab69ac98c3efb";"Аксаков, И. С.";"Тютчева, А. Ф.";1
"Q467630";"random_id8c87c05d26bd3573d9b06faed0ad8e207ea8d518";"Аксаков, И. С.";"Белинский, В. А.";1
"Q467630";"random_id77ba79b6ef3a86d5de65447683e9fea6f566f6c9";"Аксаков, И. С.";"Елагин, В. А.";1
"Q467630";"Q1978355";"Аксаков, И. С.";"Черкасские, В. А.";3
"Q467630";"random_id63e7b7b83f849e4da9a2288834108adca152e3b3";"Аксаков, И. С.";"Черкасские, Е. А.";1
"Q467630";"random_id0f9c35ce59cb2d912318d983715f589ffdee965f";"Аксаков, И. С.";"Ганка, В. В.";1
"Q467630";"random_id14c843fc111e478d163c399c8193e38178ecfd19";"Аксаков, И. С.";"Ламанский, В. И.";2
