"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"«Русский художник»";"«Русский художник»";"";"";"«Русский художник»";"«Русский художник»";"«Русский художник»";"«Русский художник», ";"";""
"Герцен, А. И.";"Герцен";"Александр Иванович";"А. И.";"Герцен";"Герцену";"Герцен, Александр Иванович";"Герцен, А. И.";"";""
"III Отделение ";"III Отделение";"";"";"III Отделение";"III Отделение";"III Отделение ";"III Отделение, ";"";""
"Пушкин, А. С.";"Пушкин";"Александр Сергеевич";"А. С.";"Пушкин";"Пушкину";"Пушкин, Александр Сергеевич";"Пушкин, А. С.";"";""
"R.";"R.";"";"";"R.";"R.";"R.";"R., ";"";""
"Огарёв, Н. П.";"Огарёв";"Николай Платонович";"Н. П.";"Огарёв";"Огарёву";"Огарёв, Николай Платонович";"Огарёв, Н. П.";"";""
"А. Бальш ";"А. Бальш";"";"";"А. Бальш";"А. Бальш";"А. Бальш ";"А. Бальш, ";"";""
"А. Лестрелен";"А. Лестрелен";"";"";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен, ";"";""
"Абаза, Александр Агеевич";"Абаза";"Александр Агеевич";"А. А.";"Абаза";"Абаза";"Абаза, Александр Агеевич";"Абаза, А. А.";"";""
"Некрасов, Н. А.";"Некрасов";"Николай Алексеевич";"Н. А.";"Некрасов";"Некрасову";"Некрасов, Николай Алексеевич";"Некрасов, Н. А.";"";""
"Авдеев, Михаил Васильевич";"Авдеев";"Михаил Васильевич";"М. В.";"Авдеев";"Авдеев";"Авдеев, Михаил Васильевич";"Авдеев, М. В.";"";""
"Дружинин, А. В.";"Дружинин";"Александр Васильевич";"А. В.";"Дружинин";"Дружинину";"Дружинин, Александр Васильевич";"Дружинин, А. В.";"";""
"Аверкиев, Дмитрий Васильевич";"Аверкиев";"Дмитрий Васильевич";"Д. В.";"Аверкиев";"Аверкиев";"Аверкиев, Дмитрий Васильевич";"Аверкиев, Д. В.";"";""
"Островский, А. Н.";"Островский";"Александр Николаевич";"А. Н.";"Островский";"Островскому";"Островский, Александр Николаевич";"Островский, А. Н.";"";""
"Аделунг, Фёдор Павлович";"Аделунг";"Фёдор Павлович";"Ф. П.";"Аделунг";"Аделунг";"Аделунг, Фёдор Павлович";"Аделунг, Ф. П.";"";""
"Востоков, А. Х.";"Востоков";"Александр Христофорович (Остенека";"А. Х.";"Востоков";"Востокову";"Востоков, Александр Христофорович (Остенека, Александра Вольдемара)";"Востоков, А. Х.";"";""
"Адеркас, Борис Антонович";"Адеркас";"Борис Антонович";"Б. А.";"Адеркас";"Адеркас";"Адеркас, Борис Антонович";"Адеркас, Б. А.";"";""
"Адлерберг, Александр Владимирович";"Адлерберг";"Александр Владимирович";"А. В.";"Адлерберг";"Адлерберг";"Адлерберг, Александр Владимирович";"Адлерберг, А. В.";"";""
"Плетнёв, П. А.";"Плетнёв";"Пётр Александрович";"П. А.";"Плетнёв";"Плетнёву";"Плетнёв, Пётр Александрович";"Плетнёв, П. А.";"";""
"Аксаков, Иван Сергеевич";"Аксаков";"Иван Сергеевич";"И. С.";"Аксаков";"Аксаков";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"";""
"Гвоздев, А. А.";"Гвоздев";"А. А.";"А. А.";"Гвоздев";"Гвоздеву";"";"Гвоздев, А. А.";"";""
"Блудова, А. Д.";"Блудова";"А. Д.";"А. Д.";"Блудова";"Блудовой";"";"Блудова, А. Д.";"";""
"Кошелев, А. И.";"Кошелев";"Александр Иванович";"А. И.";"Кошелев";"Кошелеву";"Кошелев, Александр Иванович";"Кошелев, А. И.";"";""
"Толстой, А. К.";"Толстой";"Алексей Константинович";"А. К.";"Толстой";"Толстому";"Толстой, Алексей Константинович";"Толстой, А. К.";"";""
"Жемчужников, А. М.";"Жемчужников";"Алексей Михайлович";"А. М.";"Жемчужников";"Жемчужникову";"Жемчужников, Алексей Михайлович";"Жемчужников, А. М.";"";""
"Молчанов, А.";"Молчанов";"А.";"А.";"Молчанов";"Молчанову";"";"Молчанов, А.";"";""
"Смирнова, А. О.";"Смирнова";"Александра Осиповна (Россет)";"А. О.";"Смирнова";"Смирновой";"Смирнова, Александра Осиповна (Россет)";"Смирнова, А. О.";"";""
"Елагина, А. П.";"Елагина";"Авдотья Петровна (Юшкова";"А. П.";"Елагина";"Елагиной";"Елагина, Авдотья Петровна (Юшкова, Киреевская)";"Елагина, А. П.";"";""
"Суворин, А. С.";"Суворин";"Алексей Сергеевич";"А. С.";"Суворин";"Суворину";"Суворин, Алексей Сергеевич";"Суворин, А. С.";"";""
"Хомутов, А. С.";"Хомутов";"А. С.";"А. С.";"Хомутов";"Хомутову";"";"Хомутов, А. С.";"";""
"Хомяков, А. С.";"Хомяков";"Алексей Степанович";"А. С.";"Хомяков";"Хомякову";"Хомяков, Алексей Степанович";"Хомяков, А. С.";"";""
"Гильфердинг, А. Ф.";"Гильфердинг";"А. Ф.";"А. Ф.";"Гильфердинг";"Гильфердингу";"";"Гильфердинг, А. Ф.";"";""
"Орлов, А. Ф.";"Орлов";"А. Ф.";"А. Ф.";"Орлов";"Орлову";"";"Орлов, А. Ф.";"";""
"Тютчева, А. Ф.";"Тютчева";"А. Ф.";"А. Ф.";"Тютчева";"Тютчевой";"";"Тютчева, А. Ф.";"";""
"Белинский, В. А.";"Белинский";"В. А.";"В. А.";"Белинский";"Белинскому";"";"Белинский, В. А.";"";""
"Елагин, В. А.";"Елагин";"В. А.";"В. А.";"Елагин";"Елагину";"";"Елагин, В. А.";"";""
"Черкасский, В. А.";"Черкасский";"В. А.";"В. А.";"Черкасский";"Черкасскому";"";"Черкасский, В. А.";"";""
"Черкасские, В. А.";"Черкасские";"В. А.";"В. А.";"Черкасские";"Черкасским";"";"Черкасские, В. А.";"";""
"Черкасские, Е. А.";"Черкасские";"Е. А.";"Е. А.";"Черкасские";"Черкасским";"";"Черкасские, Е. А.";"";""
"Ганка, В. В.";"Ганка";"В. В.";"В. В.";"Ганка";"Ганке";"";"Ганка, В. В.";"";""
"Ламанский, В. И.";"Ламанский";"В. И.";"В. И.";"Ламанский";"Ламанскому";"";"Ламанский, В. И.";"";""
"Безобразов, В. П.";"Безобразов";"В. П.";"В. П.";"Безобразов";"Безобразову";"";"Безобразов, В. П.";"";""
"Соловьёв, В.";"Соловьёв";"В.";"В.";"Соловьёв";"Соловьеву";"";"Соловьёв, В.";"";""
"Пуцыкович, В. Ф.";"Пуцыкович";"В. Ф.";"В. Ф.";"Пуцыкович";"Пуцыковичу";"";"Пуцыкович, В. Ф.";"";""
"Галаган, Г. П.";"Галаган";"Г. П.";"Г. П.";"Галаган";"Галагану";"";"Галаган, Г. П.";"";""
"Данилевский, Г. П.";"Данилевский";"Григорий Петрович";"Г. П.";"Данилевский";"Данилевскому";"Данилевский, Григорий Петрович";"Данилевский, Г. П.";"";""
"Оболенский, Д. А.";"Оболенский";"Д. А.";"Д. А.";"Оболенский";"Оболенскому";"";"Оболенский, Д. А.";"";""
"Перовский, Д. А.";"Перовский";"Д. А.";"Д. А.";"Перовский";"Перовскому";"";"Перовский, Д. А.";"";""
"Аверкиев, Д. В.";"Аверкиев";"Дмитрий Васильевич";"Д. В.";"Аверкиев";"Аверкиеву";"Аверкиев, Дмитрий Васильевич";"Аверкиев, Д. В.";"";""
"Остен-Сакен, Д. Е.";"Остен-Сакен";"Д. Е.";"Д. Е.";"Остен-Сакен";"Остен-Сакену";"";"Остен-Сакен, Д. Е.";"";""
"Тютчева, Д. Ф.";"Тютчева";"Д. Ф.";"Д. Ф.";"Тютчева";"Тютчевой";"";"Тютчева, Д. Ф.";"";""
"Елагина, Е. И.";"Елагина";"Е. И.";"Е. И.";"Елагина";"Елагиной";"";"Елагина, Е. И.";"";""
"Ковалевский, Е. П.";"Ковалевский";"Егор Петрович";"Е. П.";"Ковалевский";"Ковалевскому";"Ковалевский, Егор Петрович";"Ковалевский, Е. П.";"";""
"Тютчевы, Е.";"Тютчевы";"Е.";"Е.";"Тютчев";"Тютчевым";"";"Тютчев, Е.";"";""
"Тютчевы, Д.";"Тютчевы";"Д.";"Д.";"Тютчев";"Тютчевым";"";"Тютчев, Д.";"";""
"Великопольский, И. Е.";"Великопольский";"И. Е.";"И. Е.";"Великопольский";"Великопольскому";"";"Великопольский, И. Е.";"";""
", И. К.";"";"И. К.";"И. К.";"";"";"";", И. К.";"";""
"Тургенев, И. С.";"Тургенев";"Иван Сергеевич";"И. С.";"Тургенев";"Тургеневу";"Тургенев, Иван Сергеевич";"Тургенев, И. С.";"";""
"Грот, К. К.";"Грот";"К. К.";"К. К.";"Грот";"Гроту";"";"Грот, К. К.";"";""
"Тихонравов, К. Н.";"Тихонравов";"К. Н.";"К. Н.";"Тихонравов";"Тихонравову";"";"Тихонравов, К. Н.";"";""
"Победоносцев, К. П.";"Победоносцев";"Константин Петрович";"К. П.";"Победоносцев";"Победоносцеву";"Победоносцев, Константин Петрович";"Победоносцев, К. П.";"";""
"Аксаков, К. С.";"Аксаков";"Константин Сергеевич";"К. С.";"Аксаков";"Аксакову";"Аксаков, Константин Сергеевич";"Аксаков, К. С.";"";""
"Головин, К. Ф.";"Головин";"К. Ф.";"К. Ф.";"Головин";"Головину";"";"Головин, К. Ф.";"";""
"Соболев, Л. Н.";"Соболев";"Л. Н.";"Л. Н.";"Соболев";"Соболеву";"";"Соболев, Л. Н.";"";""
"Максимович, М. А.";"Максимович";"Михаил Александрович";"М. А.";"Максимович";"Максимовичу";"Максимович, Михаил Александрович";"Максимович, М. А.";"";""
"Энгельгардт, М. А.";"Энгельгардт";"Михаил Александрович";"М. А.";"Энгельгардт";"Энгельгардту";"Энгельгардт, Михаил Александрович";"Энгельгардт, М. А.";"";""
"Авдеев, М. В.";"Авдеев";"Михаил Васильевич";"М. В.";"Авдеев";"Авдееву";"Авдеев, Михаил Васильевич";"Авдеев, М. В.";"";""
"Катков, М. Н.";"Катков";"Михаил Никифорович";"М. Н.";"Катков";"Каткову";"Катков, Михаил Никифорович";"Катков, М. Н.";"";""
"Аксакова-Томашевская, М. С.";"Аксакова-Томашевская";"М. С.";"М. С.";"Аксакова-Томашевская";"Аксаковой-Томашевской";"";"Аксакова-Томашевская, М. С.";"";""
"Раевский, М. Ф.";"Раевский";"Михаил Фёдорович";"М. Ф.";"Раевский";"Раевскому";"Раевский, Михаил Фёдорович";"Раевский, М. Ф.";"";""
"Макарий";"Макарий";"";"";"Макарий";"Макарию";"";"Макарий";"";""
"Елагин, Н. А.";"Елагин";"Н. А.";"Н. А.";"Елагин";"Елагину";"";"Елагин, Н. А.";"";""
"Чаев, Н. А.";"Чаев";"Николай Александрович";"Н. А.";"Чаев";"Чаеву";"Чаев, Николай Александрович";"Чаев, Н. А.";"";""
"Гоголь, Н. В.";"Гоголь";"Николай Васильевич";"Н. В.";"Гоголь";"Гоголю";"Гоголь, Николай Васильевич";"Гоголь, Н. В.";"";""
"Геров, Н.";"Геров";"Н.";"Н.";"Геров";"Герову";"";"Геров, Н.";"";""
"Костомаров, Н. И.";"Костомаров";"Николай Иванович";"Н. И.";"Костомаров";"Костомарову";"Костомаров, Николай Иванович";"Костомаров, Н. И.";"";""
"Павлов, Н. М.";"Павлов";"Н. М.";"Н. М.";"Павлов";"Павлову";"";"Павлов, Н. М.";"";""
"Анке, Н. Н.";"Анке";"Н. Н.";"Н. Н.";"Анке";"Анке";"";"Анке, Н. Н.";"";""
"Гиляров-Платонов, Н. П.";"Гиляров-Платонов";"Н. П.";"Н. П.";"Гиляров-Платонов";"Гилярову-Платонову";"";"Гиляров-Платонов, Н. П.";"";""
"Марков, Н. П.";"Марков";"Н. П.";"Н. П.";"Марков";"Маркову";"";"Марков, Н. П.";"";""
"Лесков, Н. С.";"Лесков";"Николай Семёнович";"Н. С.";"Лесков";"Лескову";"Лесков, Николай Семёнович";"Лесков, Н. С.";"";""
"Соханская, Н. С.";"Соханская";"Надежда Степановна (Кохановская)";"Н. С.";"Соханская";"Соханской";"Соханская, Надежда Степановна (Кохановская)";"Соханская, Н. С.";"";""
"Неизвестная";"Неизвестная";"";"";"Неизвестная";"Неизвестной";"";"Неизвестная";"";""
"Неизвестный";"Неизвестный";"";"";"Неизвестный";"Неизвестному";"";"Неизвестный";"";""
"Неизвестные";"Неизвестные";"";"";"Неизвестные";"Неизвестным";"";"Неизвестные";"";""
"Новикова, О. А.";"Новикова";"О. А.";"О. А.";"Новикова";"Новиковой";"";"Новикова, О. А.";"";""
"Смирнова, О. Н.";"Смирнова";"О. Н.";"О. Н.";"Смирнова";"Смирновой";"";"Смирнова, О. Н.";"";""
"Аксакова, О. С.";"Аксакова";"Ольга Семеновна";"О. С.";"Аксакова";"Аксаковой";"Аксакова, Ольга Семеновна";"Аксакова, О. С.";"";""
"Агапеев, П.";"Агапеев";"П.";"П.";"Агапеев";"Агапееву";"";"Агапеев, П.";"";""
"Голохвастов, П. Д.";"Голохвастов";"П. Д.";"П. Д.";"Голохвастов";"Голохвастову";"";"Голохвастов, П. Д.";"";""
"Бартенев, П. И.";"Бартенев";"Пётр Иванович";"П. И.";"Бартенев";"Бартеневу";"Бартенев, Пётр Иванович";"Бартенев, П. И.";"";""
