"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
", ?";"";"?";"?";"";"";"";", ?";"";""
", В. Ч.";"";"В. Ч.";"В. Ч.";"";"";"";", В. Ч.";"";""
", Е. В. А.";"";"Е. В. А.";"Е. В. А.";"";"";"";", Е. В. А.";"";""
", Е. Е.";"";"Е. Е.";"Е. Е.";"";"";"";", Е. Е.";"";""
", К. С. О.";"";"К. С. О.";"К. С. О.";"";"";"";", К. С. О.";"";""
", О. Е. М.";"";"О. Е. М.";"О. Е. М.";"";"";"";", О. Е. М.";"";""
", Р. Б.";"";"Р. Б.";"Р. Б.";"";"";"";", Р. Б.";"";""
", Ю. В.";"";"Ю. В.";"Ю. В.";"";"";"";", Ю. В.";"";""
", N. N.";"";"N. N.";"N. N.";"";"";"";", N. N.";"";""
"«Вольное общество любителей росс. словесн.»";"«Вольное общество любителей росс. словесн.»";"";"";"«Вольное общество любителей росс. словесн.»";"«Вольному обществу любителей росс. словесн.»";"";"«Вольное общество любителей росс. словесн.»";"";""
"«всем прочим»";"«всем прочим»";"";"";"«всем прочим»";"«всем прочим»";"";"«всем прочим»";"";""
"«Под гнетом»";"«Под гнетом»";"";"";"«Под гнетом»";"«Под гнетом»";"";"«Под гнетом»";"";""
"«Русский художник»";"«Русский художник»";"";"";"«Русский художник»";"«Русский художник»";"«Русский художник»";"«Русский художник», ";"";""
"А";"А";"";"";"А";"А";"";"А";"";""
"А. Бальш";"А. Бальш";"";"";"А. Бальш";"А. Бальш";"А. Бальш";"А. Бальш, ";"";""
"А. И. Тургенев";"А. И. Тургенев";"";"";"А. И. Тургенев";"А. И. Тургенев";"А. И. Тургенев";"А. И. Тургенев, ";"";""
"А. Лестрелен";"А. Лестрелен";"";"";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен, ";"";""
"А. П. Юшкова (Зонтаг)";"А. П. Юшкова (Зонтаг)";"";"";"А. П. Юшкова (Зонтаг)";"А. П. Юшковой (Зонтаг)";"";"А. П. Юшкова (Зонтаг)";"";""
"А. B. Топоров";"А. B. Топоров";"";"";"А. B. Топоров";"А. B. Топорову";"";"А. B. Топоров";"";""
"А. H. Бекетов";"А. H. Бекетов";"";"";"А. H. Бекетов";"А. H. Бекетову";"";"А. H. Бекетов";"";""
"А. H. Тургенев";"А. H. Тургенев";"";"";"А. H. Тургенев";"А. H. Тургеневу";"";"А. H. Тургенев";"";""
"Абаза, Александр Агеевич";"Абаза";"Александр Агеевич";"А. А.";"Абаза";"Абаза";"Абаза, Александр Агеевич";"Абаза, А. А.";"";""
"Абаза, В. К.";"Абаза";"В. К.";"В. К.";"Абаза";"Абазе";"";"Абаза, В. К.";"";""
"Абаза, Ю. Ф.";"Абаза";"Ю. Ф.";"Ю. Ф.";"Абаза";"Абаза";"";"Абаза, Ю. Ф.";"";""
"Абакумов, Ф. И.";"Абакумов";"Ф. И.";"Ф. И.";"Абакумов";"Абакумову";"";"Абакумов, Ф. И.";"";""
"Абамелек-Лазарев, С. С.";"Абамелек-Лазарев";"С. С.";"С. С.";"Абамелек-Лазарев";"Абамелек-Лазареву";"";"Абамелек-Лазарев, С. С.";"";""
"Абамелик-Лазарев, С. С.";"Абамелик-Лазарев";"С. С.";"С. С.";"Абамелик-Лазарев";"Абамелик-Лазареву";"";"Абамелик-Лазарев, С. С.";"";""
"Абдулла-аль-Мамун Зураварди";"Абдулла-аль-Мамун Зураварди";"";"";"Абдулла-аль-Мамун Зураварди";"Абдулла-аль-Мамун Зураварди";"";"Абдулла-аль-Мамун Зураварди";"";""
