"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url";"ideology";"wikidata_birthdate";"wikidata_enddate"
", ?";"";"?";"?";"";"";"";", ?";"random_id59edf38765ea409b1984ff6b2dc12f7abb48ef85";"random_id59edf38765ea409b1984ff6b2dc12f7abb48ef85";"";"";""
", В. Ч.";"";"В. Ч.";"В. Ч.";"";"";"";", В. Ч.";"random_id6bb67fa15bb3e0d236995484503c438d82c37fa2";"random_id6bb67fa15bb3e0d236995484503c438d82c37fa2";"";"";""
", Е. В. А.";"";"Е. В. А.";"Е. В. А.";"";"";"";", Е. В. А.";"random_id03986aa26c7d8fc2a9ec13175854b5d3ae6ba3ff";"random_id03986aa26c7d8fc2a9ec13175854b5d3ae6ba3ff";"";"";""
", Е. Е.";"";"Е. Е.";"Е. Е.";"";"";"";", Е. Е.";"random_idf76bdef40a7912ff5c11645bf8c8868bb3435b74";"random_idf76bdef40a7912ff5c11645bf8c8868bb3435b74";"";"";""
", К. С. О.";"";"К. С. О.";"К. С. О.";"";"";"";", К. С. О.";"random_idcc8d84d91e8bdd330770a36ffa3d8aa1d8a1f85c";"random_idcc8d84d91e8bdd330770a36ffa3d8aa1d8a1f85c";"";"";""
", О. Е. М.";"";"О. Е. М.";"О. Е. М.";"";"";"";", О. Е. М.";"random_id1c1eadcff929a111c3d8825e062baeb390185045";"random_id1c1eadcff929a111c3d8825e062baeb390185045";"";"";""
", Р. Б.";"";"Р. Б.";"Р. Б.";"";"";"";", Р. Б.";"random_iddc1a4835bb9236553d34566c7dc57d8407c16a02";"random_iddc1a4835bb9236553d34566c7dc57d8407c16a02";"";"";""
", Ю. В.";"";"Ю. В.";"Ю. В.";"";"";"";", Ю. В.";"random_idd431ef490a105a805f4bb5c97526024f21468822";"random_idd431ef490a105a805f4bb5c97526024f21468822";"";"";""
", N. N.";"";"N. N.";"N. N.";"";"";"";", N. N.";"random_id61ac2931af96a2f86cdf8754a51682837cca5277";"random_id61ac2931af96a2f86cdf8754a51682837cca5277";"";"";""
"«Вольное общество любителей росс. словесн.»";"«Вольное общество любителей росс. словесн.»";"";"";"«Вольное общество любителей росс. словесн.»";"«Вольному обществу любителей росс. словесн.»";"";"«Вольное общество любителей росс. словесн.»";"random_id0700b2f3094d198a3ff3f7ff2bc2822a595e9821";"random_id0700b2f3094d198a3ff3f7ff2bc2822a595e9821";"";"";""
"«всем прочим»";"«всем прочим»";"";"";"«всем прочим»";"«всем прочим»";"";"«всем прочим»";"random_idce7c4abfecaff62e7e8e24b97e02c65b39523c1e";"random_idce7c4abfecaff62e7e8e24b97e02c65b39523c1e";"";"";""
"«Под гнетом»";"«Под гнетом»";"";"";"«Под гнетом»";"«Под гнетом»";"";"«Под гнетом»";"random_idc1140a14236b7243e967b957208926bb4b822a49";"random_idc1140a14236b7243e967b957208926bb4b822a49";"";"";""
"«Русский художник»";"«Русский художник»";"";"";"«Русский художник»";"«Русский художник»";"«Русский художник»";"«Русский художник», ";"random_id0f73face35a11eb0e221feb68ceaef456eabb679";"random_id0f73face35a11eb0e221feb68ceaef456eabb679";"";"";""
"А";"А";"";"";"А";"А";"";"А";"random_id49678d8764aef3ddfa518e75053309721b28d4d2";"random_id49678d8764aef3ddfa518e75053309721b28d4d2";"";"";""
"А. Бальш";"А. Бальш";"";"";"А. Бальш";"А. Бальш";"А. Бальш";"А. Бальш";"random_ide63e586bae8d7fce461dac41b860de76c8169fbf";"random_ide63e586bae8d7fce461dac41b860de76c8169fbf";"";"";""
