"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"«Русский художник»";"«Русский художник»";"";"";"«Русский художник»";"«Русский художник»";"«Русский художник»";"«Русский художник», ";"";""
"Герцен, А. И.";"Герцен";"Александр Иванович";"А. И.";"Герцен";"Герцену";"Герцен, Александр Иванович";"Герцен, А. И.";"Q201221";"https://www.wikidata.org/wiki/Q201221"
"III Отделение ";"III Отделение";"";"";"III Отделение";"III Отделение";"III Отделение ";"III Отделение, ";"";""
"Пушкин, А. С.";"Пушкин";"Александр Сергеевич";"А. С.";"Пушкин";"Пушкину";"Пушкин, Александр Сергеевич";"Пушкин, А. С.";"Q7200";"https://www.wikidata.org/wiki/Q7200"
"R.";"R.";"";"";"R.";"R.";"R.";"R., ";"";""
"Огарёв, Н. П.";"Огарёв";"Николай Платонович";"Н. П.";"Огарёв";"Огарёву";"Огарёв, Николай Платонович";"Огарёв, Н. П.";"Q374362";"https://www.wikidata.org/wiki/Q374362"
"А. Бальш ";"А. Бальш";"";"";"А. Бальш";"А. Бальш";"А. Бальш ";"А. Бальш, ";"";""
"А. Лестрелен";"А. Лестрелен";"";"";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен";"А. Лестрелен, ";"";""
"Абаза, Александр Агеевич";"Абаза";"Александр Агеевич";"А. А.";"Абаза";"Абаза";"Абаза, Александр Агеевич";"Абаза, А. А.";"Q551333";"https://www.wikidata.org/wiki/Q551333"
"Некрасов, Н. А.";"Некрасов";"Николай Алексеевич";"Н. А.";"Некрасов";"Некрасову";"Некрасов, Николай Алексеевич";"Некрасов, Н. А.";"Q208003";"https://www.wikidata.org/wiki/Q208003"
"Авдеев, Михаил Васильевич";"Авдеев";"Михаил Васильевич";"М. В.";"Авдеев";"Авдеев";"Авдеев, Михаил Васильевич";"Авдеев, М. В.";"Q1960437";"https://www.wikidata.org/wiki/Q1960437"
"Дружинин, А. В.";"Дружинин";"Александр Васильевич";"А. В.";"Дружинин";"Дружинину";"Дружинин, Александр Васильевич";"Дружинин, А. В.";"Q2628103";"https://www.wikidata.org/wiki/Q2628103"
"Аверкиев, Дмитрий Васильевич";"Аверкиев";"Дмитрий Васильевич";"Д. В.";"Аверкиев";"Аверкиев";"Аверкиев, Дмитрий Васильевич";"Аверкиев, Д. В.";"Q3920902";"https://www.wikidata.org/wiki/Q3920902"
"Островский, А. Н.";"Островский";"Александр Николаевич";"А. Н.";"Островский";"Островскому";"Островский, Александр Николаевич";"Островский, А. Н.";"Q171976";"https://www.wikidata.org/wiki/Q171976"
"Аделунг, Фёдор Павлович";"Аделунг";"Фёдор Павлович";"Ф. П.";"Аделунг";"Аделунг";"Аделунг, Фёдор Павлович";"Аделунг, Ф. П.";"Q64437";"https://www.wikidata.org/wiki/Q64437"
"Востоков, А. Х.";"Востоков";"Александр Христофорович (Остенека";"А. Х.";"Востоков";"Востокову";"Востоков, Александр Христофорович (Остенека, Александра Вольдемара)";"Востоков, А. Х.";"";""
"Адеркас, Борис Антонович";"Адеркас";"Борис Антонович";"Б. А.";"Адеркас";"Адеркас";"Адеркас, Борис Антонович";"Адеркас, Б. А.";"Q4057501";"https://www.wikidata.org/wiki/Q4057501"
"Адлерберг, Александр Владимирович";"Адлерберг";"Александр Владимирович";"А. В.";"Адлерберг";"Адлерберг";"Адлерберг, Александр Владимирович";"Адлерберг, А. В.";"Q4057611";"https://www.wikidata.org/wiki/Q4057611"
"Плетнёв, П. А.";"Плетнёв";"Пётр Александрович";"П. А.";"Плетнёв";"Плетнёву";"Плетнёв, Пётр Александрович";"Плетнёв, П. А.";"Q2993843";"https://www.wikidata.org/wiki/Q2993843"
"Аксаков, Иван Сергеевич";"Аксаков";"Иван Сергеевич";"И. С.";"Аксаков";"Аксаков";"Аксаков, Иван Сергеевич";"Аксаков, И. С.";"Q467630";"https://www.wikidata.org/wiki/Q467630"
"Гвоздев, А. А.";"Гвоздев";"А. А.";"А. А.";"Гвоздев";"Гвоздеву";"";"Гвоздев, А. А.";"";""
"Блудова, А. Д.";"Блудова";"А. Д.";"А. Д.";"Блудова";"Блудовой";"";"Блудова, А. Д.";"";""
"Кошелев, А. И.";"Кошелев";"Александр Иванович";"А. И.";"Кошелев";"Кошелеву";"Кошелев, Александр Иванович";"Кошелев, А. И.";"Q4237025";"https://www.wikidata.org/wiki/Q4237025"
"Толстой, А. К.";"Толстой";"Алексей Константинович";"А. К.";"Толстой";"Толстому";"Толстой, Алексей Константинович";"Толстой, А. К.";"Q212575";"https://www.wikidata.org/wiki/Q212575"
"Жемчужников, А. М.";"Жемчужников";"Алексей Михайлович";"А. М.";"Жемчужников";"Жемчужникову";"Жемчужников, Алексей Михайлович";"Жемчужников, А. М.";"Q1958084";"https://www.wikidata.org/wiki/Q1958084"
"Молчанов, А.";"Молчанов";"А.";"А.";"Молчанов";"Молчанову";"";"Молчанов, А.";"";""
"Смирнова, А. О.";"Смирнова";"Александра Осиповна (Россет)";"А. О.";"Смирнова";"Смирновой";"Смирнова, Александра Осиповна (Россет)";"Смирнова, А. О.";"Q4424797";"https://www.wikidata.org/wiki/Q4424797"
"Елагина, А. П.";"Елагина";"Авдотья Петровна (Юшкова";"А. П.";"Елагина";"Елагиной";"Елагина, Авдотья Петровна (Юшкова, Киреевская)";"Елагина, А. П.";"";""
"Суворин, А. С.";"Суворин";"Алексей Сергеевич";"А. С.";"Суворин";"Суворину";"Суворин, Алексей Сергеевич";"Суворин, А. С.";"Q2066821";"https://www.wikidata.org/wiki/Q2066821"
"Хомутов, А. С.";"Хомутов";"А. С.";"А. С.";"Хомутов";"Хомутову";"";"Хомутов, А. С.";"";""
"Хомяков, А. С.";"Хомяков";"Алексей Степанович";"А. С.";"Хомяков";"Хомякову";"Хомяков, Алексей Степанович";"Хомяков, А. С.";"Q358497";"https://www.wikidata.org/wiki/Q358497"
"Гильфердинг, А. Ф.";"Гильфердинг";"А. Ф.";"А. Ф.";"Гильфердинг";"Гильфердингу";"";"Гильфердинг, А. Ф.";"";""
"Орлов, А. Ф.";"Орлов";"А. Ф.";"А. Ф.";"Орлов";"Орлову";"";"Орлов, А. Ф.";"";""
"Тютчева, А. Ф.";"Тютчева";"А. Ф.";"А. Ф.";"Тютчева";"Тютчевой";"";"Тютчева, А. Ф.";"";""
"Белинский, В. А.";"Белинский";"В. А.";"В. А.";"Белинский";"Белинскому";"";"Белинский, В. А.";"";""
"Елагин, В. А.";"Елагин";"В. А.";"В. А.";"Елагин";"Елагину";"";"Елагин, В. А.";"";""
"Черкасский, В. А.";"Черкасский";"В. А.";"В. А.";"Черкасский";"Черкасскому";"";"Черкасский, В. А.";"Q1978355";"https://www.wikidata.org/wiki/Q1978355"
"Черкасские, В. А.";"Черкасские";"В. А.";"В. А.";"Черкасские";"Черкасским";"";"Черкасские, В. А.";"Q1978355";"https://www.wikidata.org/wiki/Q1978355"
"Черкасские, Е. А.";"Черкасские";"Е. А.";"Е. А.";"Черкасские";"Черкасским";"";"Черкасские, Е. А.";"";""
"Ганка, В. В.";"Ганка";"В. В.";"В. В.";"Ганка";"Ганке";"";"Ганка, В. В.";"";""
"Ламанский, В. И.";"Ламанский";"В. И.";"В. И.";"Ламанский";"Ламанскому";"";"Ламанский, В. И.";"";""
"Безобразов, В. П.";"Безобразов";"В. П.";"В. П.";"Безобразов";"Безобразову";"";"Безобразов, В. П.";"";""
"Соловьёв, В.";"Соловьёв";"В.";"В.";"Соловьёв";"Соловьеву";"";"Соловьёв, В.";"Q282280";"https://www.wikidata.org/wiki/Q282280"
"Пуцыкович, В. Ф.";"Пуцыкович";"В. Ф.";"В. Ф.";"Пуцыкович";"Пуцыковичу";"";"Пуцыкович, В. Ф.";"";""
"Галаган, Г. П.";"Галаган";"Г. П.";"Г. П.";"Галаган";"Галагану";"";"Галаган, Г. П.";"";""
"Данилевский, Г. П.";"Данилевский";"Григорий Петрович";"Г. П.";"Данилевский";"Данилевскому";"Данилевский, Григорий Петрович";"Данилевский, Г. П.";"Q1968651";"https://www.wikidata.org/wiki/Q1968651"
"Оболенский, Д. А.";"Оболенский";"Д. А.";"Д. А.";"Оболенский";"Оболенскому";"";"Оболенский, Д. А.";"Q4329523";"https://www.wikidata.org/wiki/Q4329523"
"Перовский, Д. А.";"Перовский";"Д. А.";"Д. А.";"Перовский";"Перовскому";"";"Перовский, Д. А.";"";""
"Аверкиев, Д. В.";"Аверкиев";"Дмитрий Васильевич";"Д. В.";"Аверкиев";"Аверкиеву";"Аверкиев, Дмитрий Васильевич";"Аверкиев, Д. В.";"Q3920902";"https://www.wikidata.org/wiki/Q3920902"
"Остен-Сакен, Д. Е.";"Остен-Сакен";"Д. Е.";"Д. Е.";"Остен-Сакен";"Остен-Сакену";"";"Остен-Сакен, Д. Е.";"Q709419";"https://www.wikidata.org/wiki/Q709419"
"Тютчева, Д. Ф.";"Тютчева";"Д. Ф.";"Д. Ф.";"Тютчева";"Тютчевой";"";"Тютчева, Д. Ф.";"";""
"Елагина, Е. И.";"Елагина";"Е. И.";"Е. И.";"Елагина";"Елагиной";"";"Елагина, Е. И.";"";""
"Ковалевский, Е. П.";"Ковалевский";"Егор Петрович";"Е. П.";"Ковалевский";"Ковалевскому";"Ковалевский, Егор Петрович";"Ковалевский, Е. П.";"Q1047353";"https://www.wikidata.org/wiki/Q1047353"
"Тютчевы, Е.";"Тютчевы";"Е.";"Е.";"Тютчев";"Тютчевым";"";"Тютчев, Е.";"";""
"Тютчевы, Д.";"Тютчевы";"Д.";"Д.";"Тютчев";"Тютчевым";"";"Тютчев, Д.";"";""
"Великопольский, И. Е.";"Великопольский";"И. Е.";"И. Е.";"Великопольский";"Великопольскому";"";"Великопольский, И. Е.";"";""
", И. К.";"";"И. К.";"И. К.";"";"";"";", И. К.";"";""
