автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 13. Переписка, 1815—1827. М.: Воскресенье, 1996. 684 с.; ил. ";1996;письмо;одностороняя;И. И. Мартынову. (1). 28 ноября 1815.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 13. Переписка, 1815—1827. М.: Воскресенье, 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Вяземскому. (1). 27 марта 1816.;;;;;
Пушкин, Василий Львович;поэт, дядя А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 17 апреля 1816.;;;;;
Пушкин, Василий Львович;поэт, дядя А. С. Пушкина;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;В. Л. Пушкину. (1). 28(?) декабря 1816.;;;;;
"Малиновский, Иван Васильевич; Есаков, Семён Семёнович; Вольховский, Владимир Дмитриевич; Илличевский, Алексей Демьянович; Пущин, Иван Иванович; Дельвиг, Антон Антонович, Пушкин, Александр Сергеевич; Неизвестный лицеист";"лицейский друг А. С. Пушкина; лицейский друг А. С. Пушкина; лицейский друг А. С. Пушкина; поэт, лицейский друг А. С. Пушкина; декабрист, лицейский друг А. С. Пушкина; поэт, издатель, лицейский друг А. С. Пушкина; поэт";"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;С. С. Фролову. (1). 4 апреля 1817.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;"П. А. Вяземскому; В. Л. Пушкину. (1). 1 сентября 1817.";;;;;
Измайлов, Александр Ефимович;баснописец, издатель, публицист;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 26 июля 1818.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. И. Тургеневу. (1). 9 июля 1819.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;Н. И. Кривцову. (1). Вторая половина июля—начало августа 1819.;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. Б. Мансурову. (1). 27 октября 1819.;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину, А. И. Тургеневу. (1). 19—20 февраля 1820.;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Вяземскому. (1). 28 марта 1820.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;П. А. Вяземскому. (1). ~ 21 апреля 1820.;;;;;
Вяземский, Пётр Андреевич;поэт, литературный критик, историк, переводчик, публицист, мемуарист;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;А. С. Пушкину. (1). 30 апреля 1820.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;Н. И. Гнедичу. (1). 17—19 апреля / 29 апреля—4 мая 1820.;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил. ";1996;письмо;одностороняя;Л. С. Пушкину. (1). 24 сентября 1820.;;;;;
