автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;;адресат;количество писем;даты
Трубецкая, Анна Андреевна;супруга князя-католика Н. И. Трубецкого, знакомая А. С. Пушкина, И. С. Тургенева и Л. Н. Толстого;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 3 января 1835.;;;;;;
Катенин, Павел Александрович;поэт, драматург, литературный критик, переводчик, театральный деятель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 4 января 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестной. (1). Декабрь 1834.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. А. Бобринскому. (1). 6 января 1835.;;;;;;
Пеньковский, Иосиф (Осип) Матвеевич;белорусский дворянин, управляющий имениями Пушкиных в Болдино и Кистенево;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 6 января 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. В. Нащокину. (1). ~ 8 января 1835.;;;;;;
Бантыш-Каменский, Дмитрий Николаевич;историк, чиновник, тобольский и виленский губернатор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 9 января 1835.;;;;;;
Пеньковский, Иосиф (Осип) Матвеевич;белорусский дворянин, управляющий имениями Пушкиных в Болдино и Кистенево;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15 января 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;П. В. Нащокину. (1). 20 января 1835.;;;;;;
Нащокин, Павел Воинович;меценат, коллекционер;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 21 января 1835.;;;;;;
Гоголь, Николай Васильевич;писатель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). ~ 22 января 1835.;;;;;;
Алексеев, Николай Степанович;офицер времён Отечественной войны, которому А. С. Пушкин посвятил свою поэму «Гавриилиада», а также стихотворения «Приятелю», «Мой милый, как несправедливы» (оба 1821), «Прощай, отшельник бессарабской» (1826);"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 23 января 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. X. Бенкендорфу. (1). 26 января 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Д. Н. Бантышу-Каменскому. (1). 26 января 1835.;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 31 января 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Неизвестной. (1). Январь 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;И. И. Дмитриеву. (1). 14 февраля 1835.;;;;;;
Пеньковский, Иосиф (Осип) Матвеевич;белорусский дворянин, управляющий имениями Пушкиных в Болдино и Кистенево;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 19 февраля 1835.;;;;;;
Дмитриев, Иван Иванович;поэт, баснописец, государственный деятель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 4 марта 1835.;;;;;;
Голицын, Владимир Сергеевич;тайный советник, генерал-майор, знакомый Пушкина и Лермонтова, известный меломан и музыкант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 21 марта 1835.;;;;;;
Публичная Библиотека;;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 22 марта 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Д. Н. Бантышу-Каменскому. (1). 2 апреля 1835.;;;;;;
Оленин, Алексей Николаевич;государственный деятель, историк, археолог, художник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 3 апреля 1835.;;;;;;
Пеньковский, Иосиф (Осип) Матвеевич;белорусский дворянин, управляющий имениями Пушкиных в Болдино и Кистенево;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 9 апреля 1835.;;;;;;
Дмитриев, Иван Иванович;поэт, баснописец, государственный деятель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 10 апреля 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. X. Бенкендорфу. (1). 11 апреля 1835.;;;;;;
Мордвинов, Александр Николаевич;участник войны 1812 года, управляющий III Отделением (1831—1839), вятский гражданский губернатор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 15 апреля 1835.;;;;;;
Бантыш-Каменский, Дмитрий Николаевич;историк, чиновник, тобольский и виленский губернатор;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 18 апреля 1835 .;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Л. С. Пушкину. (1). 24 апреля 1835 .;;;;;;
Павлищев, Николай Иванович;историк, тайный советник;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). 25 апреля 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;И. И. Дмитриеву. (1). 26 апреля 1835.;;;;;;
Фикельмон, Карл Людвиг;австрийский государственный деятель французского происхождения, дипломат, писатель, генерал кавалерии австрийской службы (3 марта 1843).;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 27 апреля 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. А. Перовскому. (1). Март—апрель 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;И. М. Пеньковскому. (1). 1 мая 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Л. С. Пушкину. (1). 2 мая 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;Н. И. Павлищеву. (1). 2 мая 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;П. А. Осиповой. (1). ~ 3 мая 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;М. П. Погодину. (1). Начало мая 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. И. Гончаровой. (1). 16 мая 1835.;;;;;;
Катенин, Павел Александрович;поэт, драматург, литературный критик, переводчик, театральный деятель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 16 мая 1835.;;;;;;
Бутурлин, Михаил Петрович; военный, чиновник, нижегородский губернатор в 1831—1843 годах, генерал-лейтенант;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 23 мая 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;С. С. Хлюстину. (1). 25 мая 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;В. Ф. Одоевскому. (1). Апрель—май 1835.;;;;;;
Одоевский, Владимир Фёдорович;писатель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;двустронняя;А. С. Пушкину. (1). Апрель — май 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. X. Бенкендорфу. (1). Апрель—май 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. X. Бенкендорфу. (1). Апрель—май 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. А. Коленов —  А. С. Пушкину. (1). Май 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. X. Бенкендорфу. (1). 1 июня 1835.;;;;;;
Катенин, Павел Александрович;поэт, драматург, литературный критик, переводчик, театральный деятель;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 1 июня 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;Н. И. Павлищеву. (1). 3 июня 1835.;;;;;;
Пеньковский, Иосиф (Осип) Матвеевич;белорусский дворянин, управляющий имениями Пушкиных в Болдино и Кистенево;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. С. Пушкину. (1). 4 июня 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;В. А. Дурову. (1). 16 июня 1835.;;;;;;
Пушкин, Александр Сергеевич;поэт;"Пушкин А. С. Полное собрание сочинений: В 17 т.: Т. 16. Переписка, 1835—1837. М.: Воскресенье,  1997. — 532 с.; ил. ";1997;письмо;односторонняя;А. А. Краевскому. (1). 18 июня 1835.;;;;;;
