автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;прошение;односторонняя;Прошение на имя Екатерины II. (1). 30 мая 1779.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. Р. Воронцову. (19). 1782 — 1790.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. И. Далю. (1). 30 апреля 1790.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. Р. Воронцову. (6). 1790.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;завещание;односторонняя;Завещание детям. (1). 1790.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;С. И. Шешковскому. (3). 1790.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. Р. Воронцову. (24). 1790 — 1791.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. М. Кутузову. (1). 6 декабря 1791.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. Р. Воронцову. (26). 1791 — 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;Н. А. Радищеву. (1). июль 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;М. Н. Радищевой. (1). июль 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;М. Н. Радищеву. (1). июль 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. А. Ушакову. (1). 26 июля 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;В. А., Н. А. Радищевым. (1). 13 августа 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;Книгопродавцу Рису. (1). 18 августа 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;М. Н. Радищеву. (1). 18 августа 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. Р. Воронцову. (2). 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;прошение;односторонняя;Прошение на имя Павла I. (1). 6 декабря 1797.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;А. Р. Воронцову. (12). 1797 — 1800.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;прошение;односторонняя;Прошение на имя Павла I. (1). 21 декабря 1800.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;прошение;односторонняя;Прошение на имя Александра I. (1). 1802.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;Неизвестному. (1). 1802.;;;;;
Радищев, Александр Николаевич; прозаик, поэт, философ;"Радищев А. Н. Полное собрание сочинений. М.; Л. : Изд-во АН СССР, 1951. Т. 3. 686 с.";1951;письмо;односторонняя;Н. А., Ф. С. Радищевым. (1). 18 августа 1802.;;;;;
