автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;А. И. Урусову. (1). 7 июля 1868.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;А. Ф. Каблукову. (1). 9 сентября 1868.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;А. Ф. Каблукову. (1). 1 октября 1868.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;Н. А. Некрасову. (1). 1—9 октября 1868.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;Д. Е. Салтыкову. (1). 18 октября 1868.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;А. Ф. Каблукову. (1). 5 ноября 1868.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;Н. А. Некрасову. (1). Октябрь — ноябрь 1868.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;Д. Е. Салтыкову. (1). 14 января 1869.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;А. Ф. Каблукову. (1). 17 января 1869.;;;;;
Салтыков-Щедрин, Михаил Евграфович;писатель, журналист, редактор журнала «Отечественные записки», Рязанский и Тверской вице-губернатор;Салтыков-Щедрин М. Е. Собрание сочинений: В 20 т. Т. 18, кн. 2. Письма. 1868—1876. М.: Худож. лит., 1976. 366 с.;1976;письмо;односторонняя;А. Ф. Каблукову. (1). 26 марта 1869.;;;;;
