"source_id";"source_full";"source_year";"title";"n_vol";"place"
1;"Лит. насл., 1956, т. 63, см. указатель имен.";"1956";"";"";""
2;"Литературное наследство, 1949, т. 51—52, с. 75—568, 627.";"1949";"";"";""
3;"Архив села Карабихи. М., К. Некрасов, 1916, с. 41—265.";"1916";"";"";""
4;"Письма к А. В. Дружинину. М., 1948, 423 с. (Летописи Гослитмузея, № 9).";"1948";"";"";""
5;"Неизданные письма к А. Н. Островскому. Из архива А. Н. Островского по материалам Театр, музея им. А. А. Бахрушина. М.—Л., «Academia», 1932, 743 с. (Памятники лит. и общ. быта).";"1932";"";"";""
6;"Переписка А. Х. Востокова в повременном порядке. Комм. И. Срезневского. Пб., 1873, XL, 509 с.";"1873";"";"";""
7;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил.";"1996";"";"";""
8;"Переписка Я. К. Грота с П. А. Плетневым, т. II. Пб., 1896, с. 870—872, 880, 881, 890, 891, 897, 901—904, 909—911, 915—919, 929—940, 943, 946—966; т. III. Пб., 1896, с. 718—722, 729, 730, 733—739, 742—744, 748, 754, 757—759, 761, 762, 765—770.";"1896";"";"";""
9;"Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.";"1888";"";"";""
10;"Уч. зап. Ин-та славяноведения, 1948, т. I, с. 23, 26, 30, 35.";"1948";"";"";""
11;"Рус. архив, 1915, № 6, с. 130—132.";"1915";"";"";""
12;"Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.";"1896";"";"";""
13;"Вольное слово, 1883, № 60, с. 4—5.";"1883";"";"";""
14;"Мурановский сборник, вып. 1. Мураново, Музей им. поэта Ф. И. Тютчева, 1928, с. 91, 101—104.";"1928";"";"";""
15;"Герцен А. И. Полное собрание сочинений и писем, т. IX. Пг., 1919, с. 156; т. XVI. Пг., ГИЗ, 1920, с. 376—382.";"1919; 1920";"";"";""
16;"Konstantin Kawelin und Ivan Turgenjevs Sozial-politischer Briefwechsel mit Alexander Jw. Herzen. Stuttgardt, 1894, c. 163—175.";"1894";"";"";""
17;"Колюпанов Н. Биография Александра Ивановича Кошелева, т. II. М., 1892, с. 41—73, отд. прилож.";"1892";"";"";""
18;"Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.";"1892";"";"";""
19;"Вест. Евр., 1905, № 10, с. 442—444.";"1905";"";"";""
20;"Науч. доклады Высш. шк. филолог. науки, 1959, № 4, с. 138.";"1959";"";"";""
21;"Ист. вест., 1886, № 8, с. 373—377";"1886";"";"";""
22;"Рус. архив, 1895, № 12, с. 423—480.";"1895";"";"";""
23;"Рус. архив, 1904, № 1, с. 190";"1909";"";"";""
24;"Письма русских писателей к А. С. Суворину. Л., 1927, 228 с. (Публ. б-ка).";"1927";"";"";""
25;"Ист. вест., 1886, № 7, с. 55.";"1886";"";"";""
26;"Колюпанов Н. Биография А. И. Кошелева, т. II. М., 1892, с. 61—68, отд. прилож.";"1892";"";"";""
27;"Лит. насл., 1935, т. 19—21, с. 253—256.";"1935";"";"";""
28;"Белинский В. А. Провинциальный публицист-мечтатель. Сборник газетных и журнальных статей (за время с 1876 по 1893 г.). Пб., 1894, с. 269-270.";"1894";"";"";""
29;"Рус. архив, 1909, № 5, с. 149—151.";"1909";"";"";""
30;"Трубецкая О. Материалы для биографии князя В. А. Черкасского, т. I, кн. 1. М., 1901, с. 48, 124, 186—198, 229, 239, 264, 289—304, 320; т. I, кн. 2. М., 1904, с. 339—341.";"1901";"";"";""
31;"Славянский сборник. М., 1948, с. 125, 129, 130. (Тр. Отдела рукописей Б-ки СССР им. В. И. Ленина.)";"1948";"";"";""
32;"Славянский сборник. М., 1948, с. 132—199.";"1948";"";"";""
33;"Письма к Вячеславу Ганке из славянских земель. Варшава, В. А. Францев, 1905, с. 3—9.";"1905";"";"";""
34;"Рус. мысль, 1916, № 9, с. 1—32; № 12, с. 85—114; 1917, № 2, с. 82—89; № 3—4, с. 56—70.";"1916";"";"";""
35;"Новое вр., 1901, № 9003, 22 марта.";"1901";"";"";""
36;"Рус. мысль, 1913, № 12, с. 73—90.";"1913";"";"";""
37;"Московский сборник из произведений М. Д. Скобелева, И. С. Аксакова, В. С. Соловьева [и др.]. М., 1887, с. 16—45.";"1887";"";"";""
38;"На чужой стороне, 1924, т. V, с. 129—157.";"1924";"";"";""
39;"Ежегодник Коллегии Павла Галагана. Киев, 1902, с. 403—409.";"1902";"";"";""
40;"Рус. архив, 1902, № 2, с. 362—365; № 7, с. 492—499.";"1902";"";"";""
41;"Багалей Д. И. Материалы для биографий южно-русских научно-литературных деятелей XIX века. Киев, 1903, 103 с.";"1903";"";"";""
42;"Данилевский М. Г. Г. П. Данилевский по личным его письмам и литературной переписке. Харьков, 1893, с. 29—30, 50—52.";"1893";"";"";""
43;"Иван Сергеевич Аксаков в его письмах, т. 1. М.—Пб., 1888.";"1888";"";"";""
44;"Ист. вест, 1916, № 9, с. 701—702.";"1916";"";"";""
45;"Рус. архив, 1903, № 1, с. 608—609.";"1903";"";"";""
46;"Трубецкая. Ф. Материалы для биографии кн. Б. А. Черкасского, т. I, кн. 1. М., 1901, с. 167—169ю";"1901";"";"";""
47;"Отчет имп. Публ. б-ки за 1885 год. Пб., 1888, прилож, с. 4—7.";"1888";"";"";""
48;"Новое вр., 1901, №№ 9085, 9086, 9088 от 21, 22, 24 июня.";"1901";"";"";""
49;"Рус. архив, 1902, № 3, с. 571—573.";"1902";"";"";""
50;"Щукинский сборник, вып. 10. М., 1912, с. 228—234, 468—472.";"1912";"";"";""
51;"Рус. обозр., 1894, № 8, с. 448—479; № 9, с. 8—10, 27, 28; № 12, с. 596—601.";"1894";"";"";""
52;"Рус. филолог. вест., 1915, № 3, с. 13—15.";"1915";"";"";""
53;"Материалы для биографии К. Н. Тихонравова. Письма к нему разных лиц. Владимир, 1900, с. 221—223.";"1900";"";"";""
54;"К. П. Победоносцев и его корреспонденты, т. I. М.— Пг., ГИЗ, 1923, с. 275-277.";"1923";"";"";""
55;"Кр. архив, 1928, т. VI, с. 144—154.";"1928";"";"";""
56;"Рус. архив 1894, № 1, с. 103—104; 1907, № 10, с. 163—192.";"1894";"";"";""
57;"Лит. насл., 1952, т. 58, с. 582—583.";"1952";"";"";""
58;"Рус. ст., 1903, № 5, с. 261—266.";"1903";"";"";""
59;"Ист. вест., 1911, № И, с. 560—562.";"1911";"";"";""
60;"Рус. архив, 1908, № 3, с. 354—362.";"1908";"";"";""
61;"Письма Толстого и к Толстому. Юбилейный сборник. М.—Л., ГИЗ, 1928, с. 317—325.";"1882";"";"";""
62;"Рус. ст., 1902, № 8, с. 269—272.";"1902";"";"";""
63;"Рус. архив, 1907, № 9, с. 141—144.";"1907";"";"";""
64;"Вятские вед., 1886, № 11, 5 февр, с. 3.";"1886";"";"";""
65;"Рус. архив, 1915, № 1, с. 5—13";"1915";"";"";""
66;"Лит. насл., 1949, т. 51—53, с. 95.";"1949";"";"";""
67;"Рус. архив, 1915, № 9—10, с. 63";"1915";"";"";""
68;"Рус. ст., 1890, № 2, с. 426—427.";"1890";"";"";""
69;"Штиглиц А. Н. Памяти Ивана Сергеевича Аксакова. Пб., 1907, с. 20—23.";"1907";"";"";""
70;"Рус. архив, 1887, № 8, с. 469—494.";"1887";"";"";""
71;"Рус. архив, 1915, № 9—10, с. 63—64.";"1915";"";"";""
