автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Неизвестному. (1). 31 декабря 1878.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Эмилю Золя. (1). 2 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Людвигу Пичу. (1). 2 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;А. В. Топорову. (1). 2 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;А. В. Топорову. (1). 2 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;С. Н. Тютчеву. (1). 2 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Каролине Комманвиль. (1). 3 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;М. М. Стасюлевичу. (1). 5 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Н. А. Щепкину. (1). 6 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Эмилю Золя. (1). 7 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;А. Н. Тургеневу. (1). 7 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Н. А. Щепкину. (1). 9 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;П. К. Маляревскому. (1). 9 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Гюставу Флоберу. (1). 9 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Г. О. Гинцбургу. (1). 10 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;М. Г. Савиной. (1). 10 / 11 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;А. В. Топорову. (1). 11 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;П. В. Анненкову. (1). 12 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Гюставу Флоберу. (1). 12 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Каролине Комманвиль. (1). 13 января 1879.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Полное собрание сочинений и писем: В 30 т. Письма. В 18 т.: Т. 16, кн. 2. Письма, 1879. М.: Наука, 2018. 716 с.;2018;письмо;односторонняя;Л. Я. Стечькиной. (1). 13 января 1879.;;;;;
