автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;В. П. Толстому. (1). 3 января 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;О. А. Тургеневой. (1). 6 января 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;О. А. Тургеневой. (1). 6 января 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;Е. А. Черкасской. (1). 17 января 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;В. А. Черкасскому. (1). 18 / 19 января 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;M. Н. Толстой. (1). Январь 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;M. Н. Толстой. (1). Январь 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;М. Н., В. П. Толстым. (1). 8 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;Полине Виардо. (1). 10 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;А. Н. Островскому. (1). 10 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;К. Н. Леонтьеву. (1). 11 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;А. А. Краевскому. (1). 14 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;М. Н., В. П. Толстым. (1). 14 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;В. П. Боткину. (1). 22 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;М. Н., В. П. Толстым. (1). 25 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;В. П. Боткину. (1). 28 февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;М. Л. Михайлову. (1). Вторая половина февраля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;M. Н. Толстой. (1). 2 марта 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;В. П. Боткину. (1). 4 марта 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;А. А. Краевскому. (1). Конец февраля — начало марта 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;А. А. Краевскому. (1). Середина марта 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;М. Н., В. П. Толстым. (1). 22 марта 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;Е. Я. Колбасину. (1). 28 марта / 4 апреля 1855.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 3. Письма, 1855-1858. М.: Наука, 1987. 701, [1] с., [1] л. портр.;1987;письмо;односторонняя;А. Ф. Видерту. (1). 5 апреля 1855.;;;;;
