автор;род деятельности;публикация;год публикации;формат публикации (переписка/письмо/отрывки/отрывок);односторонняя / двусторонняя;персоналии;примечания;электронный источник;адресат;количество писем;даты
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Валентине Делессер. (1). 2 января 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 17 января 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;И. П. Борисову. (1). 19 января 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Полине Брюэр. (1). 24 января 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Жюлю Этцелю. (1). 31 января 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Полине Брюэр. (1). 4 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;М. В. Авдееву. (1). 6 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Валентине Делессер. (1). 7 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Людвигу Пичу. (1). 7 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 9 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Полине Брюэр. (1). 12 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 17 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 24 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 28 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Людвигу Пичу. (1). 28 февраля 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;M. Н. Каткову. (1). 8 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;И. П. Борисову. (1). 17 февраля, 9 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Полине Брюэр. (1). 9 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Н. И. Баксту. (1). 10 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Е. Е. Ламберт. (1). 10 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;Е. Т. Сливицкой. (1). 15 марта 1866.;;;;;
Тургенев, Иван Сергеевич; писатель, поэт, публицист, драматург, переводчик;Тургенев И.С. Полное собрание сочинений и писем : В 30 т. Письма. В 18 т.: Т. 7. Письма, 1866 - июнь 1867. М.: Наука, 1990. 445, [1] с., [1] л. портр.: ил.;1990;письмо;односторонняя;П. В. Анненкову. (1). 25 марта 1866.;;;;;
