 source_id;source_full;pages;source_year_begin;source_year_end;place
1;Лит. насл., 1956, т. 63, см. указатель имен.;;1956;1956;
2;Литературное наследство, 1949, т. 51—52, с. 75—568, 627.;т. 51-52, с. 75-568, 627;1949;1949;
3;Архив села Карабихи. М., кн. изд-во К.Ф. Некрасова, 1916, с. 41—265.;41-265;1916;1916;М., кн. изд-во К.Ф. Некрасова
4;Письма к А. В. Дружинину. М., 1948, 423 с. (Летописи Гослитмузея, № 9).;;1948;1948;М.
5;Неизданные письма к А. Н. Островскому. Из архива А. Н. Островского по материалам Театр, музея им. А. А. Бахрушина. М.—Л., «Academia», 1932, 743 с. (Памятники лит. и общ. быта).;;1932;1932;М.-Л., «Academia»
6;Переписка А. Х. Востокова в повременном порядке. Комм. И. Срезневского. Пб., 1873, XL, 509 с.;;1873;1873;Пб.
7;"Пушкин А. С. Полное собрание сочинений: В 17 т. М.: Воскресенье, 1994—1996. Т. 13. Переписка, 1815—1827. 1996. 684 с.; ил.";;1996;1996;М.: Воскресенье
8;"Переписка Я. К. Грота с П. А. Плетневым, т. II. Пб., 1896, с. 870—872, 880, 881, 890, 891, 897, 901—904, 909—911, 915—919, 929—940, 943, 946—966; т. III. Пб., 1896, с. 718—722, 729, 730, 733—739, 742—744, 748, 754, 757—759, 761, 762, 765—770.";"т. II. Пб., 1896, с. 870-872, 880, 881, 890, 891, 897, 901-904, 909-911, 915-919, 929-940, 943, 946-966; т. III. Пб., 1896, с. 718-722, 729, 730, 733-739, 742-744, 748, 754, 757-759, 761, 762, 765-770";1896;1896;Пб.
9;Иван Сергеевич Аксаков в его письмах, т. 2 . М.—Пб., 1888.;;1888;1888;М.-Пб.
10;Уч. зап. Ин-та славяноведения, 1948, т. I, с. 23, 26, 30, 35.;23, 26, 30, 35;1948;1948;
11;Рус. архив, 1915, № 6, с. 130—132.;130-132;1915;1915;
12;Иван Сергеевич Аксаков в его письмах, т. 4. М.—Пб., 1896.;;1896;1896;М.-Пб.
13;Вольное слово, 1883, № 60, с. 4—5.;4-5;1883;1883;
14;Мурановский сборник, вып. 1. Мураново, Музей им. поэта Ф. И. Тютчева, 1928, с. 91, 101—104.;91, 101-104;1928;1928;Мураново, Музей им. поэта Ф. И. Тютчева
15;"Герцен А. И. Полное собрание сочинений и писем, т. IX. Пг., 1919, с. 156; т. XVI. Пг., ГИЗ, 1920, с. 376—382.";376-382;1919;1920;Пг.
16;Konstantin Kawelin und Ivan Turgenjevs Sozial-politischer Briefwechsel mit Alexander Jw. Herzen. Stuttgardt, 1894, c. 163—175.;163-175;1894;1894;Stuttgardt
17;Колюпанов Н. Биография Александра Ивановича Кошелева, т. II. М., 1892, с. 41—73, отд. прилож.;41-73;1892;1892;М.
18;Иван Сергеевич Аксаков в его письмах, т. 3 . М.—Пб., 1892.;;1892;1892;М.-Пб.
19;Вест. Евр., 1905, № 10, с. 442—444.;442-444;1905;1905;
20;Науч. доклады Высш. шк. филолог. науки, 1959, № 4, с. 138.;138;1959;1959;
21;Ист. вест., 1886, № 8, с. 373—377;373-377;1886;1886;
22;Рус. архив, 1895, № 12, с. 423—480.;423-480;1895;1895;
23;Рус. архив, 1904, № 1, с. 190;190;1909;1909;
24;Письма русских писателей к А. С. Суворину. Л., 1927, 228 с. (Публ. б-ка).;;1927;1927;Л.
25;Ист. вест., 1886, № 7, с. 55.;55;1886;1886;
26;Колюпанов Н. Биография А. И. Кошелева, т. II. М., 1892, с. 61—68, отд. прилож.;61-68;1892;1892;М.
27;Лит. насл., 1935, т. 19—21, с. 253—256.;253-256;1935;1935;
28;Белинский В. А. Провинциальный публицист-мечтатель. Сборник газетных и журнальных статей (за время с 1876 по 1893 г.). Пб., 1894, с. 269-270.;269-270;1894;1894;Пб.
29;Рус. архив, 1909, № 5, с. 149—151.;149-151;1909;1909;
30;"Трубецкая О. Материалы для биографии князя В. А. Черкасского, т. I, кн. 1. М., 1901, с. 48, 124, 186—198, 229, 239, 264, 289—304, 320; т. I, кн. 2. М., 1904, с. 339—341.";339-341;1901;1901;М.
31;Славянский сборник. М., 1948, с. 125, 129, 130. (Тр. Отдела рукописей Б-ки СССР им. В. И. Ленина.);125, 129, 130;1948;1948;М.
32;Славянский сборник. М., 1948, с. 132—199.;132-199;1948;1948;М.
33;Письма к Вячеславу Ганке из славянских земель. Варшава, 1905, с. 3—9.;3-9;1905;1905;Варшава
