number_of_letter;addressee;gender;date;place;appeal;first_line;signature;volume;pages;poetry;autograph;copy;first published;printed according to
1;Е. Д. Турчанинова;ж;20 ноября 1795;Кексгольм;Милостивая государыня матушка Елизавета Дементьевна;"Я весьма рад, что узнал, что Вы, слава Богу, здоровы; что ж касается до меня, то и я также, по Его милости, здоров и весел";Ваш послушный сын Васинька;15;7;;неизвестен;РО ИРЛИ. № 27744. Л. 1—1 об.;РА. 1872. № 12. Стб. 2363—2364. Публикация П. И. Бартенева;копия
2;Е. Д. Турчанинова;ж;20 декабря 1795;Кексгольм;Милостивая государыня матушка Елизавета Дементьевна;Имею честь Вас поздравить с праздником и желаю, чтоб Вы оный провели весело и здорово;Ваш послушный сын Васинька;15;7;;РО ИРЛИ. № 27743. Л. 7—7 об.;РО ИРЛИ. № 27744. Л. 2—2 об.;РА. 1872. Стб. 2363—2364. Публикация П. И. Бартенева;автограф
3;Е. Д. Турчанинова;ж;начало января (после 6-го) 1796;Кексгольм;Милостивая государыня матушка Елизавета Дементьевна;Имею честь Вас поздравить с наступившим новым годом и желаю, чтоб Вы оный и множество таковых провели благополучно и здорово;Ваш послушный сын Васинька;15;9;;неизвестен;РО ИРЛИ. № 27744. Л. 3—3 об. Б. д.;РА. 1872. Стб. 2364—2365. Публикация П. И. Бартенева;копия
4;Г. Р. Державин;м;январь 1799;Москва;Милостивый государь;Творения Ваши, может быть, столько ж делают чести России, сколько победы Румянцевых;Василий Жуковский. Семен Родзянка ;15;8;;неизвестен;Державин. Т. 6. С. 83—84, с пометой: «Москва, января 1799»;;текст первой публикации
5;И. П. Тургенев;м;17 февраля 1799;Москва;Милостивый государь;Благосклонное участие, приемлемое Вами в образовании нашего ума и сердца, исполняет душу нашу живейшими чувствами признательности;Василий Жуковский. Семен Родзянка ;15;9;;РО ИРЛИ. Ф. 309. № 537. Л. 117—117 об.;;ЖИМ. Вып. 1. С. 442—443. Публикация Н. Д. Кочетковой;автограф
6;А. Ф. Мерзляков;м;22 августа 1800;Москва;;Это письмо будет ответом на твое;;15;9;;неизвестен;РО ИРЛИ. Ф. 309. № 124 (старый шифр). Л. 297—298 об., рукой неустановленного лица;ЖМНП. 1911. № 4. С. 219—222;копия
7;Е. Д. Турчанинова;ж;вторая половина 1800 (не ранее июня);Москва;Милостивая государыня матушка Елизавета Дементьевна;"Григорий приготовил деньги за себя, только дело остановилось за тем, что он не знает, куда он приписан по подушному окладу и каким образом нам укреплен; итак, извольте потрудиться об этом осведомиться и поскорее ко мне прислать";препослушный сын В. Жуковский;15;12;;неизвестен;;РА. 1872. Стб. 2365—2366. Публикация П. И. Бартенева;копия
8;Д. Н. Блудов;м;середина ноября (после 12-го) 1801;Москва;Мой добрый и любезный друг;Мой добрый и любезный друг, извини меня, что я так мало к тебе пишу;;15;13;;РГАЛИ. Ф. 72 (Блудов). Оп. 1. № 5. Л. 3—3 об. Б. д.;РО ИРЛИ. № 27744. Л. 4—5 об. Б. д.;ПСС Жуковский в 20 т., т. 15;автограф
9;А. М. Соковнина;ж;первая половина 1802;Москва;;Покорно благодарю Вас за коврижку;;15;13;;РНБ. Оп. 2. № 140. Л. 2—2 об. Б. д.;;Отчет Императорской Публичной библиотеки за 1893 г. СПб., 1895. С. 122—123;автограф
10;Е. А. Протасова;ж;21 апреля 1803;Москва;;"Скажу о себе, что я, может быть, месяцем позже Вас увижу; я еду на месяц в Свирлово жить вместе с Николаем Михайловичем";;15;14;;неизвестен;неизвестен;РА. 1895. Кн. 3. С. 494, с заглавием: «Из письма В. А. Жуковского» и датой: «21 апреля». Публикация П. И. Бартенева;текст первой публикации
11;И. П. Тургенев;м;11 августа 1803;Белев;;Я имел счастье получить Ваше драгоценное, утешительное и вместе горестное письмо;Остаюсь с сердечною преданностью Вашим покорнейшим слугою. Жуковский;15;14;;РНБ. Оп. 2. № 425. Л. 1—4 об. Б. г.;;ПЖТ. С. 8—12;автограф
12;Д. Н. Блудов;м;7 ноября 1803;Белев;;Благодарен Блудову за его пантомиму;;15;18;;РГАЛИ. Ф. 72 (Блудов). Оп. 1. № 5. Л. 2—2 об. Начало на русском языке, продолжение — на французском;;ПСС Жуковский в 20 т., т. 15;автограф
13;Д. Н. Блудов;м;21 января 1804;Белев;mon cher et très cher Bloudov;"Bonjour, mon cher et très cher Bloudov; beaucoup de remerciement pour votre lettre, qui m’a totalement rassuré sur votre compte";;15;20;;РГАДА. Ф. 1274. Оп. 1. № 1802. Л. 1—1 об. На французском языке;;ПСС Жуковский в 20 т., т. 15;автограф
14;Д. Н. Блудов;м;начало августа 1804;Белев;Блудов;Энеида», переведенная господином Яковом Делилем, объявила мне, что ты еще жив и обо мне помнишь;;15;22;;РГАДА. Ф. 1274. Оп. 1. № 1802. Л. 4—4 об. Б. д.;;Трофимов И. Т. Поиски и находки в Московских архивах. М., 1982. С. 63—66 — с небольшими пропусками и неточностями. Полностью - РЛ. 2009. № 3. С. 83—86. Публикация А. С. Янушкевича;автограф
15;Е. Д. Турчанинова;ж;конец марта — начало апреля (до 9-го) 1805;Петербург;;Честь имею Вас поздравить с Светлым Христовым Воскресением;Ваш покорный сын. В. Ж.;15;24;;РО ИРЛИ. № 27743. Л. 5. Б. д.;;Айзикова И. А. Истоки эпистолярного наследия В. А. Жуковского (на материале писем к матери) // Вестник Томского государственного университета. Филология. Томск, 2011. № 2 (14). С. 73.;автограф
16;Д. Н. Блудов;м;май—июнь 1805;Белев;;По крайней мере, могу всегда найти оправдание перед тобою! ;;15;25;;РО ИРЛИ. № 21833. Л. 1—12. Б. д.;;Радуга: Альманах Пушкинского дома. Пб., 1922. С. 15—19. Публикация и комментарий Б. Модзалевского;автограф
17;А. И. Тургенев;м;31 августа 1805;Белев;ami;"Хочу написать к тебе несколько строк; сказать тебе, что ты очень дурно делаешь, не отвечая мне на мои письма";;15;26;;"РНБ. Оп. 2. № 143. Л. 2—3а об. — на перегнутом вдвое листке, с пронумерованными четырьмя фрагментами; л. 4 — рисунок надгробного памятника (акварель, чернила). Б. г.";;ПЖТ. С. 3—8;автограф
18;А. И. Тургенев;м;вторая половина августа 1805;Белев;брат и друг;Здравствуй, брат и друг. Отчего не пишешь ко мне ни строки о возвращении вашем из Липецка, о здоровье батюшки, о самом себе и прочее? ;;15;29;;РНБ. Оп. 2. № 143. Л. 1—1 об. Б. д.;;ПЖТ. С. 3—5;автограф
19;А. И. Тургенев;м;11—16 сентября 1805;Белев;мой любезный Александр;Благодарю тебя, мой любезный Александр, за твое письмо;;15;30;;РНБ. Оп. 2. № 143. Л. 5—6 об. — с двумя датами: 11 сентября 1805 г. (л. 5) и 16 сентября (л. 5 об.);;ПЖТ. С. 12—16;автограф
20;Ф. Г. Вендрих;м;19 декабря 1805;Белев;любезный и почтенный Федор Григорьевич;Благодарю Вас, любезный и почтенный Федор Григорьевич, за Ваше приятное письмо, которое меня очень обрадовало;Жуковский;15;34;;Ф. 212 (Ф. М. Достоевский). Оп. 1. № 265. Л. 1—2 об., с датой «19 декабря»;РО ИРЛИ. № 17440 (А. Н. Майков). Л. 1—2 об. С пометой переписчика: «Письмо Жуковского из Белева, от 19 декабря 1805 года»;Пантеон. 1852. № 6. Отд. II. С. 33—35, с большими пропусками, в статье М. М. Достоевского «Жуковский и романтизм». Полностью: С 7. Т. 6. С. 383—385;автограф
21;А. И. Тургенев;м;8 января 1806;Белев;;Cейчас получил твое письмо и сейчас на него отвечаю;;15;37;;РНБ. Оп. 2. № 143. Л. 7—9 об. Б. г.;;ПЖТ. С. 16—22;автограф
22;А. И. Тургенев;м;ноябрь 1806;Москва;Mon cher ami;Mon cher ami, будучи ленив неподражаемым образом, ты еще меня хочешь наказывать за леность: побойся сатаны!;;15;42;;РНБ. Оп. 2. № 143. Л. 10. Б. д.;;ПЖТ. С. 22—23;автограф
23;"А. И. Тургенев; Д. Н. Блудов";"м; м";первая половина декабря 1806;Москва;любезные друзья Тургенев и Блудов;Здравствуйте, любезные друзья Тургенев и Блудов!;;15;43;;РНБ. Оп. 2. № 143. Л. 12—13 об. Б. д.;;ПЖТ. С. 24—27;автограф
24;А. И. Тургенев;м;24 декабря 1806;Москва;mon cher ami;Le mal est fait, mon cher ami;;15;47;;РНБ. Оп. 2. № 143. Л. 14—14 об. Б. г.;;ПЖТ. С. 28—29;автограф
25;А. И. Тургенев;м;первая половина января 1807;Москва;любезный друг Александр;Я получил твое последнее письмо, любезный друг Александр , и мне очень жаль, что Блудов болен;;15;49;;РНБ. Оп. 2. № 143. Л. 16. Б. д.;;ПЖТ. С. 29—30;автограф
26;А. И. Тургенев;м;7 января 1807;Москва;брат Тургенев;Не стыдно ли, брат Тургенев, быть так ветреным? ;;15;50;;РНБ. Оп. 2. № 143. Л. 17. Б. г.;;ПЖТ. С. 30—31;автограф
27;А. И. Тургенев;м;28 января 1807;Москва;любезный друг;Мой милый, любезный друг, спешу сказать тебе несколько слов;Жуковский;15;51;;РНБ. Оп. 2. № 143. Л. 18. Б. г.;;ПЖТ. С. 31;автограф
28;А. И. Тургенев;м;начало февраля 1807;Москва;;"Спешу послать тебе летописцы; последние экземпляры. Новогородский Летописец обещали мне доставить";;15;51;;"РНБ. Оп. 2. № 143. Л. 19, 20—20 об. Второй абзац письма написан на обороте конверта (л. 20 об.); сургучная печать закрыла несколько слов. Б. д.";;ПЖТ. С. 32;автограф
29;А. И. Тургенев;м;вторая половина февраля 1807;Москва;;Посылаю тебе, любезный друг, Новогородский Летописец и первый номер Ученых Ведомостей;;15;52;;РНБ. Оп. 2. № 143. Л. 21—21 об. Б. д.;;ПЖТ. С. 32—34.;автограф
30;Д. Н. Блудов;м;конец июня 1807;Москва;любезный странник;Пишу к тебе, любезный странник, накануне своего отъезда в деревню;;15;53;;РНБ. Оп. 2. № 79. Л. 1. Б. д.;;РА. 1900. Т. 3. № 9. С. 5—6;автограф
31;А. И. Тургенев;м;начало июля 1807;Белев;любезный друг Александр;Я получил оба твои письма, любезный друг Александр, одно из Бартенштейна, надписанное на мое имя, другое из Тильзита, писанное к Костогорову2 и присланное мне Соковниными;Твой навсегда Ж.;15;54;;РНБ. Оп. 2. № 143. Л. 22—22 об. Б. д.;;ПЖТ. С. 34—37;автограф
32;А. М. Соковнина;ж;июль—август 1807;Белев;;Je vous envoye le reste de ma dette et je n’ai pas d’instant libre pour vous dire encore quelque chose de plus;;15;55;;РНБ. Оп. 2. № 140. Л. 1—1 об. Б. д.;;РА. 1900. Кн. 3. № 9. С. 6—8;автограф
33;"А. И. Тургенев; Д. Н. Блудов";"м; м";конец ноября 1807;Москва;любезные друзья;Здравствуйте, любезные друзья, отвечаю к вам поздно и мало, потому что некогда и лень;;15;56;;РНБ. Оп. 2. № 143. Л. 23—23 об. Б. д.;;ПЖТ. С. 37—39;автограф
34;А. И. Тургенев;м;9 декабря 1807;Москва;любезный друг Александр;Для меня совсем не утешительно слышать, любезный друг Александр, что ты и Блудов сбираетесь ко мне писать и не сберетесь, хотя это очень натурально;;15;58;;РНБ. Оп. 2. № 143. Л. 24—25. Б. г.;;ПЖТ. С. 39—41;автограф
35;А. И. Тургенев;м;начало декабря (до 10-го) 1807;Москва;любезный друг Александр;"Здравствуй, любезный друг Александр; пишу к тебе несколько строк, не имея времени написать больше";Жуковский;15;60;;РНБ. Оп. 2. № 143. Л. 26. Б. д.;;ПЖТ. С. 41—42;автограф
36;А. И. Тургенев;м;конец декабря 1807 — начало января 1808;Москва;любезный друг;Пишу к тебе два слова, любезный друг, не имея совершенно времени писать более;;15;61;;РНБ. Оп. 2. № 143. Л. 27. Б. д.;;ПЖТ. С. 42—43;автограф
37;П. А. Вяземский;м;25—27 июня 1808;Москва;Любезнейший из всех именинников;Любезнейшего из всех именинников благодарю искренно за его приглашение и за то, что он меня вспомнил;Вам преданный Жуковский;15;62;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 2—3. Б. д.;;РЛ. 1983. № 1. С. 188—189. Публикация В. В. Пухова;автограф
38;И. П. Черкасов;м;29—30 июня 1808;Москва;любезный и почтенный философ володьковской пустыни;Благодарю Вас искренно, любезный и почтенный философ володьковской пустыни, за поручение мне Ваших комиссий, которые уже исполнены (сколько их? одна!);;15;64;;РО ИРЛИ. Р. I. Оп. 9. № 87. Л. 1—2. Б. г.;;РЛ. 2009. № 3. С. 86—88. Публикация А. С. Янушкевича;автограф
39;П. А. Вяземский;м;30 июля 1808;Москва;любезный князь;Хорошее начало нашей дружбы, любезный князь;Joukovsky;15;66;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 1—1 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
40;П. А. Вяземский;м;5 августа 1808;Москва;милый князь, то есть милый приятель и будущий друг;Ваше, или, лучше сказать, твое письмо, милый князь, то есть милый приятель и будущий друг, для меня очень, очень приятно, и я прочел его с особенным удовольствием;Жуковский;15;68;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 4. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
41;Е. Д. Турчанинова;ж;сентябрь (не позднее 10-го) 1808;Москва;милый друг матушка;Целую Ваши ручки, милый друг матушка, имею честь Вам доложить, что я, слава Богу, здоров;Ваш покорный и послушный сын В. Жуковский;15;69;;неизвестен;РО ИРЛИ. № 27744. Л. 6—7.;РА. 1872. Стб. 2363—2366. Б. д.;копия
42;А. И. Тургенев;м;10 февраля 1809;Москва;любезный друг;Через две недели, любезный друг, а много через три, надеюсь тебя увидеть;;15;69;;РНБ. Оп. 2. № 144. Л. 1. Б. д.;;ПЖТ. С. 43—44;автограф
43;А. И. Тургенев;м;конец марта 1809;;Брат;Брат, прошу тебя отдать эту шубу Блудову;;15;70;;РНБ. Оп. 2. № 164. Л. 1. Б. д.;;ПЖТ. С. 308 — в рубрике «Записочки без числа»;автограф
44;П. И. Голубков;м;25 мая 1809;Белев;любезнейший Петр Иванович;Надеюсь, любезнейший Петр Иванович, что ты не откажешься исполнить усердную просьбу старого твоего приятеля и сослуживца в полку знаменитого Роде;Преданный тебе В. Жуковский;15;70;;неизвестен;неизвестен;РА. 1863. № 8—9. С. 708—709, с датой: «25 мая 1809 Белев»;текст первой публикации
45;А. П. Юшкова (Зонтаг);ж;июнь 1809;Муратово;Любезная из любезнейших Анн Петровен;Любезная из любезнейших Анн Петровен, прошу Вас покорно доставить приложенный пакет в пять этажей в почтамт города Белева;;15;71;;неизвестен;1) ОР РНБ. Оп. 2. № 444. Л. 1—1 об. — рукою А. П. Елагиной. Б. д. 2) РО ИРЛИ. Архив Грота. № 16000. Л. 1 — рукою А. П. Зонтаг. Б. м., г. и д.;Грот. С. 3—4;текст первой публикации со сверкой по копиям
46;И. В. Лопухин;м;24 августа 1809;Белев;Милостивый государь Иван Володимирович;Хотя я уверен, что напоминать Вам о том, что Вами уже обещано, есть дело совсем излишнее;покорнейший слуга В. Жуковский;15;72;;ОР РГБ. Ф. 104. Карт. 5. № 13. Л. 1—1 об.;;РЛ. 2009. № 3. С. 89. Публикация А. С. Янушкевича;автограф
47;А. И. Тургенев;м;конец августа 1809;Белев;любезнейший друг;Я получил твое письмо, любезнейший друг;;15;73;;РНБ. Оп. 2. № 145. Л. 1. Б. д.;;ПЖТ. С. 45;автограф
48;А. И. Тургенев;м;15 сентября 1809;Белев;любезнейший друг;Сначала буду отвечать тебе на последнее твое письмо от 31 августа, любезнейший друг;;15;74;;РНБ. Оп. 2. № 145. Л. 2—3.;;ПЖТ. С. 46—53;автограф
49;А. И. Тургенев;м;2 декабря 1809;Москва;любезнейший друг;"Здравствуй, любезнейший друг, обнимаю тебя от всего сердца; на следующей почте буду к тебе писать более1 и просить письма к Гагарину2";Твой Жуковский;15;78;;РО ИРЛИ. Ф. 309. № 124 (старый шифр). Л. 343 об.;;РС. 1901. Т. 106. Апрель—июнь. С. 126—127;автограф
50;А. А. Перовский;м;20—25 января 1810;Москва;любезнейший Алексей Алексеевич;Посылаю к Вам, любезнейший Алексей Алексеевич, мое письмо, которое прошу Вас доставить княз;Ваш покорный слуга Жуковский;15;79;;РГАЛИ. Ф. 198. Оп. 1. № 53. Л. 1. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
51;П. А. Вяземский;м;20—25 января 1810;Москва;;Я хотел писать к тебе по почте и просил вашего человека, чтобы дал мне знать;;15;79;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 6—6 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
52;П. А. Вяземский;м;1 февраля 1810;Москва;cher ami;Comment cela va-t-il, cher ami;;15;81;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 7. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
53;И. И. Дмитриев;м;10 марта 1810;Москва;М<илостивый> г<осударь> И <ван> И<ванович>;Я теперь вдвое благодарю Вас за то, что Вы поручили мне быть корректором Ваших сочинений;В. Жуковский;15;82;;неизвестен;РНБ. Оп. 2. № 99. Л. 1—2 — рукою А. И. Тургенева;РА. 1900. № 9. С. 8—10;копия
54;А. И. Тургенев;м;начало апреля 1810;Москва;любезный и истинно любимый друг;Благодарю тебя за письмо твое, любезный и истинно любимый друг;Жуковский;15;84;;РНБ. Оп. 2. № 145. Л. 4. Б. д. — с пометой неизвестного лица вверху листа: март—апрель 1810;;ПЖТ. С. 53—54;автограф
55;К. Н. Батюшков;м;7 мая 1810;Москва;;Приезжай ко мне часу во втором, я достал пилигримов;Ж;15;85;;РО ИРЛИ. Ф. 19. № 33. Л. 1.;;Ежегодник РО ПД на 1980 г. Л., 1984. С. 83. Публикация Р. В. Иезуитовой;автограф
56;П. А. Вяземский;м;около 1 июля 1810;Москва;любезный друг;Здравствуй, любезный друг. Спасибо за угощение;;15;85;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 65. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
57;П. А. Вяземский;м;3 июля 1810;Москва;;Сейчас получил письмо твое и сейчас отвечаю — какова честность;Твой Жуковский ;15;86;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 5.;;ПСС Жуковский в 20 т., т. 15;автограф
58;А. И. Тургенев;м;11 июля 1810;Белев;любезный и первый друг мой;Пишу к тебе это письмо, любезный и первый друг мой, только для того, чтобы обременить тебя некоторыми комиссиями;;15;86;;РНБ. Оп. 2. № 145. Л. 5.;;ПЖТ. С. 54—56;автограф
59;А. И. Тургенев;м;август 1810;Белев;;Спешу написать тебе несколько слов, любезнейший друг, чтобы успокоить тебя насчет присланных тобою мне книг;Твой Жуковский;15;87;;РНБ. Оп. 2. № 145. Л. 6. Б. д.;;ПЖТ. С. 56—57;автограф
60;А. И. Тургенев;м;12 сентября 1810;Муратово;любезный мой Миллер;Благодарю тебя, любезный мой Миллер, за длинное твое письмо и за всё то, что в нем заключается;;15;88;;РНБ. Оп. 2. № 145. Л. 7—8.;;ПЖТ. С. 57—65;автограф
61;А. И. Тургенев;м;19 сентября 1810;Муратово;;Constantiam et gravitatem werden Sie nicht eher erlangen, bis alle Ihre Stunden wie im Kloster regelmäβig ausgetheilt sind;Твой Ж.;15;93;;РНБ. Оп. 2. № 145. Л. 11. Б. г.;;ПЖТ. С. 69—70;автограф
62;М. Т. Каченовский;м;27 сентября 1810;Муратово;;Поздравляю Вас с именем издателя «Вестника Европы», с благополучным избавлением от тяжкой всемирной трубы, которою Вы хотели было против меня вооружиться;Ваш покорный слуга В. Жуковский;15;95;;РО ИРЛИ. (Онегинский архив). № 27746. Л. 3—4 — черновой. Б. г.;;Благонамеренный. Брюссель, 1926. № 2. С. 150—152. Публикация М. Л. Гофмана. Ср.: Ежегодник РО ПД на 1979 г. Л., 1981. С. 92—95. Публикация Р. В. Иезуитовой.;автограф
63;М. Т. Каченовский;м;между 30 сентября и 3 октября 1810;Муратово;Милостивый государь мой Михаил Трофимович;Еще одно письмо, с которым позволю себе войти в некоторые объяснения, — и потом всему конец;;15;97;;РО ИРЛИ. (Онегинский архив). № 27746. Л. 1—2. Б. д. — черновой. Черновик письма не закончен.;;Ежегодник РО ПД на 1979 г. Л., 1981. С. 95—97. Публикация Р. В. Иезуитовой;автограф
64;И. И. Дмитриев;м;между 30 сентября и 3 октября 1810;Муратово;Милостивый государь Иван Иванович;Приношу Вашему превосходительству чувствительную благодарность за драгоценный подарок, мною от Вас полученный;покорнейший слуга В. Жуковский;15;98;;РО ИРЛИ. (Онегинский архив). № 27746. Л. 2 об. Б. д.;;РО ПД на 1980 г. Л., 1984. С. 82—83. Публикация Р. В. Иезуитовой;автограф
65;А. И. Тургенев;м;конец сентября — начало октября 1810;Муратово;любезнейшый друг;Книги твои получил, любезнейшый друг, и дочитываю Миллера;;15;98;;РНБ. Оп. 2. № 145. Л. 9. Б. д.;;ПЖТ. С. 68—69;автограф
66;А. И. Тургенев;м;11 октября 1810;Белев;;Любезнейший друг, благодаря тебя усердно за присылку росписи, спешу тебя попросить сделать мне еще одно крайнее одолжение;Жуковский;15;99;;РНБ. Оп. 2. № 145. Л. 13—13 об. Б. г.;;ПЖТ. С. 71—72;автограф
67;А. И. Тургенев;м;18 октября 1810;Белев;Друг сердечный, милый Миллер;Друг сердечный, милый Миллер, — два слова;;15;101;;РНБ. Оп. 2. № 145. Л. 14. Б. г.;;ПЖТ. С. 72;автограф
68;П. А. Вяземский;м;4 ноября 1810;Белев;милый мой друг;Не сердись на меня, милый мой друг, за то, что я ни одного письма не написал к тебе в четыре месяца, — я не забыл тебя, и это пусть будет моим извинением;Жуковский;15;102;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 11—11об. Б. г.;;ПСС Жуковский в 20 т., т. 15;автограф
69;А. И. Тургенев;м;7 ноября 1810;Белев;любезный друг;Скажи мне, любезный друг, поступал ли Миллер с своим Бонстеттеном так безбожно, как ты со мною поступаешь;Жуковский;15;103;;РНБ. Оп. 2. № 145. Л. 16—16 об. Б. г.;;ПЖТ. С. 73—74;автограф
70;А. И. Тургенев;м;вторая половина ноября 1810;Белев;мой милый Миллер;Письмо твое от 31 октября получил, мой милый Миллер;;15;105;;РО ИРЛИ. Ф. 309. № 124 (старый шифр). Л. 330—331 об. Б. г.;;РА. 1867. Кн. 5—6. Стб. 790—799. Перепечатано: ПЖТ. С. 74—79;автограф
71;П. А. Вяземский;м;начало декабря 1810;Муратово;любезнейший друг;Вот тебе еще хлопоты, любезнейший друг. Прилагаю при сем записку о том, что надобно сделать для Екатерины Афанасьевны Протасовой;;15;110;;РО ИРЛИ. Ф. 309. № 124 (старый шифр). Л. 332—332 об. Б. д.;;РС. 1901. Т. 106. Апрель—июнь. С. 127—129, с редакторской пометой: «(Во второй половине ноября 1810 г. Муратово)»;автограф
72;А. И. Тургенев;м;4—5 декабря 1810;Белев;милостивый государь и любезный друг;Отвечаю тебе на два последние письма твои, милостивый государь и любезный друг;;15;111;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 13—13 об. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
73;А. И. Тургенев;м;декабрь 1810;Белев;;Последнее твое письмо от 17го ноября;;15;113;;РНБ. Оп. 2. № 146. Л. 1—3 об. Б. г.;;ПЖТ. С. 80—88;автограф
74;П. А. Вяземский;м;вторая половина 1810;Белев;;На будущей неделе еду в Москву, следовательно не пиши ко мне в Белев, а в Москву;;15;121;;РНБ. Оп. 2. № 146. Л. 5. Б. д.;;ПЖТ. С. 89;автограф
75;А. И. Тургенев;м;конец декабря 1810 — начало января 1811;Белев;Любезный друг;Любезный друг, скажу тебе два слова, очень для меня нужные;;15;122;;РГАЛИ. Ф. 195. Оп. 1. № 1909. Л. 14. Б. д.;;ПСС Жуковский в 20 т., т. 15;автограф
76;А. И. Тургенев;м;15 февраля 1811;Москва;;На письмо твое отвечать в подробности не имею времени, а спешу повторить тебе просьбу мою только об одном, именно о деле Екатерины Афанасьевны;;15;122;;РНБ. Оп. 2. № 146. Л. 6—6 об. Б. д.;;ПЖТ. С. 89—90;автограф
77;А. И. Тургенев;м;27 марта 1811;Москва;;Просьба в банк послана, любезный друг, в первой половине ноября месяца;Твой Жуковский ;15;123;;РНБ. Оп. 2. № 146. Л. 7.;;ПЖТ. С. 90;автограф
78;А. И. Тургенев;м;27 марта 1811;Москва;;Пламенный Державин под старость лет сделался только вспыльчивым;;15;123;;РНБ. Оп. 2. № 146. Л. 9—10.;;ПЖТ. С. 90—94;автограф
79;С. С. Уваров;м;4 мая 1811;Москва;;Я имел удовольствие получить Ваше письмо1 и спешу на него отвечать;искренно преданный Вам Жуковский;15;125;;ОПИ ГИМ. Ф. 17. Оп. 1. № 80. Л. 13—14.;РНБ. Оп. 2. № 426. Л. 1—2 — рукою А. И. Тургенева;ПЖТ. С. 95 (примеч. 2) — отрывок. Полностью: РА. 1900. Кн. 3. № 9. С. 10—13. Публикация И. А. Бычкова;автограф
80;А. И. Тургенев;м;начало мая (около 6-го) 1811;Москва;любезнейший друг;Рекомендую тебе, любезнейший друг, своего доброго приятеля и очень доброго человека Владимира Сергеевича Филимонова;;15;127;;РНБ. Оп. 2. № 146. Л. 11. Б. д.;;"ПЖТ. С. 94. Без постскриптума; впервые постскриптум без текста письма: Труды Тульской губернской ученой архивной комиссии. Кн. 1. Тула, 1915. С. 178. Публикация В. С. Арсеньева";автограф
81;Н. И. Гнедич;м;6 мая 1811;Москва;любезный Николай Иванович;Жуковский сердечно обнимает любезного Николая Ивановича и желает ему здоровья;;15;128;;неизвестен;неизвестен;РС. 1883. № 4. С. 112;текст первой публикации
82;А. И. Тургенев;м;середина мая (около 13-го) 1811;Москва;Любезный и добрый друг,;Любезный и добрый друг, на письмо твое не могу теперь отвечать обстоятельно;Твой Жуковский;15;128;;РНБ. Оп. 2. № 146. Л. 13. Б. д.;;ПЖТ. С. 94—96;автограф
